transcript_id	length	gene_name	counts
ENST00000377459.2	387	HIST1H2AH	8466.8
ENST00000444376.6	2421	HNRNPU	8430
ENST00000262030.7	1590	ATP5B	8368.1
ENST00000615164.2	312	HIST1H4E	8129.5
ENST00000355899.7	1893	PLS3	8096.3
ENST00000380394.8	750	RPS6	8029.7
ENST00000348462.5	372	RPL35	8004
ENST00000329251.4	1314	EEF1G	7975.9
ENST00000274065.8	795	RPS3A	7902.4
ENST00000216146.8	1212	RPL3	7743.5
ENST00000394332.5	423	RPL23	7730.8
ENST00000295955.13	579	RPL9	7675.9
ENST00000374550.7	537	RPL11	7664.5
ENST00000314332.5	381	HIST1H2BC	7516.5
ENST00000579248.5	555	RPL17	7449.8
ENST00000293842.9	438	RPL26	7422.1
ENST00000338970.10	648	RPL14	7399
ENST00000272317.10	471	RPS27A	7325.7
ENST00000311528.9	636	RPL13	7306.2
ENST00000361575.3	156	RPL39	7244.6
ENST00000549920.5	567	RPL18	7237.1
ENST00000430157.6	387	UBA52	7216
ENST00000295688.7	1638	CCT3	7109.3
ENST00000331491.1	411	HIST2H3D	7082.1
ENST00000331380.3	390	HIST2H2AC	7050.7
ENST00000258091.9	1632	CCT7	7022.2
ENST00000352983.6	747	RPL7	7003.3
ENST00000343262.8	882	RPS2	6991
ENST00000377791.3	393	HIST1H2AC	6970.5
ENST00000392369.6	651	RAN	6959
ENST00000304218.5	660	HIST1H1E	6955.2
ENST00000308162.9	501	CFL1	6825.3
ENST00000370994.8	1164	SERBP1	6761.8
ENST00000439602.6	459	RPS18	6656.7
ENST00000584895.5	687	RPL17-C18orf32	6624.3
ENST00000377745.3	312	HIST1H4B	6584.5
ENST00000614247.1	312	HIST1H4D	6532.1
ENST00000394440.7	1620	CCT4	6406.2
ENST00000270625.6	477	RPS11	6294.3
ENST00000247461.8	1779	CANX	6172
ENST00000339647.5	2058	UBC	6151.1
ENST00000296417.5	387	H2AFZ	6151.1
ENST00000396953.6	408	RPL32	6125.5
ENST00000393193.6	804	NME1-NME2	6111.3
ENST00000302907.8	585	RPS9	6060.9
ENST00000358739.4	393	HIST1H2AI	6012.5
ENST00000335895.12	489	BTF3	5918.1
ENST00000296674.12	432	RPS23	5908.6
ENST00000251453.7	441	RPS16	5892.2
ENST00000359308.8	1830	XRCC6	5855.6
ENST00000422514.6	471	RPL23A	5854.7
ENST00000593863.5	438	RPS19	5765.6
ENST00000264258.7	378	RPL31	5760.4
ENST00000374517.5	318	TXN	5668.8
ENST00000311111.10	213	RPL38	5586.3
ENST00000396705.9	750	TPI1	5559.5
ENST00000356731.9	1350	HNRNPH1	5558.2
ENST00000299767.9	2412	HSP90B1	5456.8
ENST00000391857.8	612	RPL13A	5451.1
ENST00000262982.2	2916	CSE1L	5356.7
ENST00000371085.7	1185	GNAS	5349.3
ENST00000331821.7	606	RANBP1	5296.6
ENST00000225655.5	423	PFN1	5269.4
ENST00000274242.9	294	RPL37	5247.2
ENST00000491306.5	279	RPL37A	5210.4
ENST00000373715.10	495	SRSF3	5205.6
ENST00000225698.8	849	C1QBP	5191.9
ENST00000331666.10	2742	EIF3C	5133.1
ENST00000394665.5	354	RPL34	5114.2
ENST00000221419.9	1770	HNRNPL	5105.1
ENST00000615868.1	393	HIST1H2AB	5071.6
ENST00000280326.8	1626	CCT5	5018.9
ENST00000295598.9	3072	ATP1A1	4999.3
ENST00000322989.8	393	RPS15A	4967.6
ENST00000448864.5	333	RPL35A	4942.5
ENST00000335972.10	3177	UBA1	4928.8
ENST00000276079.12	1416	NONO	4922.9
ENST00000294189.10	480	RPL29	4878.6
ENST00000357214.5	2124	SFPQ	4877.9
ENST00000341369.11	336	PTMA	4837.2
ENST00000228306.8	954	RPLP0	4792.5
ENST00000322203.6	654	RPL10A	4788.4
ENST00000196551.7	615	RPS5	4784.2
ENST00000369167.2	381	HIST2H2BF	4752.2
ENST00000527673.1	378	RPS25	4737.2
ENST00000290158.8	2631	KPNB1	4726.8
ENST00000314138.10	447	RPL27A	4705.1
ENST00000324460.6	1965	HSPA5	4694.1
ENST00000220849.9	1338	EIF3E	4623.7
ENST00000297185.7	2040	HSPA9	4622.6
ENST00000270142.10	465	SOD1	4601.9
ENST00000321394.11	1671	TCP1	4563.6
ENST00000341023.1	393	HIST1H2AD	4559.4
ENST00000286788.8	1647	CCT8	4544.2
ENST00000233893.9	309	HSPE1	4503.7
ENST00000282050.6	1662	ATP5A1	4435.3
ENST00000337304.2	1056	ATF4	4427.7
ENST00000349496.9	2346	CTNNB1	4352.2
ENST00000299300.10	1608	CCT2	4347
ENST00000316448.9	1254	CALR	4343.7
ENST00000254108.11	1581	FUS	4286.8
ENST00000284727.8	429	ATP5G3	4252.3
ENST00000359611.3	393	HIST1H2AM	4245.2
ENST00000347512.7	318	RPL36	4222
ENST00000321358.11	975	YBX1	4220.8
ENST00000396172.5	1287	DDX39B	4215.8
ENST00000321153.8	348	RPLP2	4199.7
ENST00000260379.10	345	RPLP1	4176.6
ENST00000303887.9	2160	MCM7	4170.7
ENST00000275603.8	1596	CCT6A	4128.5
ENST00000325495.8	2193	HNRNPM	4126.6
ENST00000616182.1	381	HIST1H2BO	4120.8
ENST00000438552.6	723	SNRPB	4091.2
ENST00000330459.7	1590	KPNA2	4090.9
ENST00000358344.7	999	HNRNPAB	4073.9
ENST00000227378.7	1941	HSPA8	4037.3
ENST00000346169.6	4800	EIF4G1	4013.9
ENST00000359303.3	411	HIST1H3J	3992.9
ENST00000366695.3	393	HIST3H2A	3964.5
ENST00000366794.9	3045	PARP1	3961.3
ENST00000264221.6	1278	PAICS	3922.6
ENST00000272298.11	450	CALM2	3902.1
ENST00000356487.9	1677	GPI	3887.2
ENST00000353245.7	738	YWHAZ	3867
ENST00000315758.9	1017	MDH2	3864.5
ENST00000373316.4	1254	PGK1	3861.1
ENST00000303305.10	1185	PA2G4	3828.5
ENST00000393190.4	459	NME2	3820.5
ENST00000613854.1	411	HIST1H3A	3800.7
ENST00000393196.7	459	NME1	3774.7
ENST00000369144.7	4149	EIF3A	3761.5
ENST00000557342.5	330	SLIRP	3761.4
ENST00000238081.7	738	YWHAQ	3754
ENST00000469257.1	342	EIF1	3747.4
ENST00000225792.9	1845	DDX5	3729
ENST00000301072.10	1350	TUBA1C	3723.4
ENST00000339995.9	2724	EIF4G2	3689.9
ENST00000367549.3	3813	DHX9	3684
ENST00000333511.7	1158	BSG	3674.5
ENST00000369409.8	1602	PHGDH	3657.2
ENST00000369626.7	1503	SLC16A1	3651
ENST00000392132.6	2199	XRCC5	3649.4
ENST00000322030.12	834	SET	3649.1
ENST00000314191.6	12387	PRKDC	3637.8
ENST00000272274.8	483	RPL21	3604.9
ENST00000349038.8	1596	PTBP1	3603.6
ENST00000253024.9	2508	TRIM28	3598
ENST00000395422.3	456	CHCHD2	3568.3
ENST00000620438.1	381	HIST3H2BB	3566.7
ENST00000361891.8	1173	ILF2	3565.8
ENST00000340385.5	675	PRDX6	3565
ENST00000361436.9	498	RPL12	3563.4
ENST00000352035.6	3306	ACLY	3538.5
ENST00000262105.6	2592	MCM4	3532.7
ENST00000236957.9	678	EEF1B2	3526.7
ENST00000354185.8	2352	DDX21	3514.9
ENST00000261182.12	1176	NAP1L1	3505.2
ENST00000546463.5	1089	PCBP2	3499.5
ENST00000287038.7	348	RPL30	3491.9
ENST00000313899.11	1068	HNRNPD	3489.6
ENST00000481445.1	243	COX7B	3459.6
ENST00000399959.6	1989	DDX3X	3451.8
ENST00000269122.7	5028	CLTC	3432.9
ENST00000370355.2	1080	SCD	3424.5
ENST00000314133.3	210	COX8A	3414
ENST00000380087.6	1278	RBBP7	3379.7
ENST00000304992.10	7008	PRPF8	3376
ENST00000356638.7	2835	GANAB	3375.6
ENST00000342669.7	357	SNRPD2	3341
ENST00000302271.10	1902	HNRNPR	3335.4
ENST00000418115.5	582	RHOA	3333.8
ENST00000247655.3	192	COX7C	3333.4
ENST00000343986.8	252	RPS21	3331.7
ENST00000344063.6	414	RPL28	3316.1
ENST00000290541.6	795	PSMB4	3304.8
ENST00000245458.10	171	RPS29	3301
ENST00000254810.8	411	H3F3B	3267.3
ENST00000604458.1	786	HSPE1-MOB4	3263.4
ENST00000392524.6	1137	HNRNPA3	3262.7
ENST00000258962.4	747	SRSF1	3232.6
ENST00000305786.6	318	CYCS	3219.7
ENST00000262193.6	726	PSMB1	3216.5
ENST00000295470.9	1263	HNRNPDL	3199
ENST00000221801.7	966	FBL	3195.9
ENST00000233143.5	135	TMSB10	3192.6
ENST00000321233.10	1437	ZNF207	3176.7
ENST00000305218.8	1632	STIP1	3168
ENST00000265304.10	447	SSBP1	3136.4
ENST00000301740.12	8259	SRRM2	3122.8
ENST00000320676.11	1176	RBMX	3062.9
ENST00000353703.8	741	YWHAB	3035.4
ENST00000619426.4	618	PSMB3	3002.6
ENST00000262033.10	483	PTGES3	3002.1
ENST00000301522.2	597	PRDX2	2996.8
ENST00000360458.5	867	MORF4L2	2993.1
ENST00000531120.5	1125	EIF3M	2987.2
ENST00000414487.6	279	SNRPE	2980
ENST00000222247.9	531	RPL18A	2977
ENST00000369722.7	771	ATP5F1	2976
ENST00000311672.9	276	UQCRH	2967.1
ENST00000356530.5	381	HIST1H2BF	2963.4
ENST00000361059.7	2544	MATR3	2957.2
ENST00000394805.7	2544	MATR3	2957.2
ENST00000527548.5	402	FAU	2939.6
ENST00000044462.11	786	PSMA4	2925.6
ENST00000274606.7	462	NHP2	2925
ENST00000345046.10	741	BCAP31	2916.9
ENST00000290299.6	642	ATP5O	2896.1
ENST00000340384.4	1338	TUBB4B	2890.9
ENST00000267115.9	714	TMBIM6	2880.7
ENST00000548293.5	456	MYL6	2865.2
ENST00000356464.9	348	RPS26	2855
ENST00000224237.9	1401	VIM	2852
ENST00000278412.6	2130	SSRP1	2839.9
ENST00000215829.7	381	SNRPD3	2817.9
ENST00000377889.6	1707	SLC3A2	2803.7
ENST00000356978.8	450	CALM1	2796.2
ENST00000330899.4	1194	DNAJA1	2794.3
ENST00000229379.2	330	COX6A1	2792.7
ENST00000372967.3	321	NDUFS5	2786
ENST00000376755.1	474	RBM3	2780.6
ENST00000379143.9	786	PCNA	2767.1
ENST00000301821.10	888	RPSA	2754.2
ENST00000374825.8	2406	BRD2	2737.4
ENST00000358901.10	2421	VCP	2730.3
ENST00000453386.6	867	TRA2B	2723.7
ENST00000248342.8	657	EIF3K	2722.2
ENST00000234875.8	387	RPL22	2716.3
ENST00000403230.1	2190	DDX17	2705.4
ENST00000336812.4	2388	DHX15	2695.4
ENST00000373586.1	978	EIF3I	2689.1
ENST00000398606.7	633	GSTP1	2681.1
ENST00000375650.4	1926	HSPA1B	2672.2
ENST00000300408.7	819	PHB	2663.7
ENST00000602676.6	687	OAZ1	2660.8
ENST00000269349.7	1236	EIF4A3	2659.3
ENST00000375643.7	3789	IARS	2653.2
ENST00000422453.6	534	CNBP	2650.8
ENST00000272102.9	546	ARF1	2650.7
ENST00000326739.8	1545	IMPDH2	2638.2
ENST00000335698.4	894	ATP5C1	2635.5
ENST00000379719.7	3117	IPO7	2632.9
ENST00000301764.11	3423	DDB1	2629.8
ENST00000465139.6	750	ANP32A	2624.4
ENST00000359995.9	666	SRSF2	2600.2
ENST00000557016.5	315	ERH	2592.1
ENST00000265073.8	384	SUB1	2583.5
ENST00000366923.7	4539	EPRS	2573.7
ENST00000253039.8	1419	EIF2S3	2567.2
ENST00000356245.7	1401	G3BP1	2567
ENST00000300289.9	1518	PDIA3	2564.8
ENST00000298510.3	771	PRDX3	2554.4
ENST00000360876.8	2445	EIF3B	2546.6
ENST00000539745.1	312	HIST4H4	2546
ENST00000350030.7	2367	NASP	2526.9
ENST00000378665.1	249	UQCRQ	2520.4
ENST00000613174.1	393	HIST1H2AL	2515.6
ENST00000265112.7	2172	TARS	2513
ENST00000009589.7	360	RPS20	2486.4
ENST00000304858.6	2523	HSPA4	2469.7
ENST00000371437.4	213	NDUFA1	2463.9
ENST00000423316.6	1944	EEF1D	2463.5
ENST00000253452.6	510	COX4I1	2460.9
ENST00000335508.10	3915	SF3B1	2425.8
ENST00000361427.5	273	HMGN2	2395.4
ENST00000233114.12	1005	MDH1	2394.4
ENST00000184266.2	390	NDUFB4	2393
ENST00000326587.11	2337	MAGED1	2391.9
ENST00000285968.10	6039	NUP205	2383.6
ENST00000501597.3	78	RPL41	2379.7
ENST00000216605.12	2808	MTHFD1	2375.2
ENST00000228318.7	1089	SLC25A3	2373.5
ENST00000263574.9	2292	APLP2	2354.7
ENST00000322088.10	1770	PPP2R1A	2339
ENST00000613283.1	1365	MYC	2337.9
ENST00000571133.5	1473	RSL1D1	2330.6
ENST00000449870.5	2697	ILF3	2325.1
ENST00000287022.9	336	UQCRB	2322.8
ENST00000350608.7	357	DDT	2321.5
ENST00000357865.6	450	STMN1	2321.3
ENST00000320307.8	600	TAGLN2	2317.8
ENST00000311223.9	1122	GLUL	2316
ENST00000223321.8	705	PSMA2	2314.8
ENST00000442788.5	705	RP11-111K18.1	2314.8
ENST00000505490.2	795	ALYREF	2314.5
ENST00000352861.8	207	SEC61G	2302
ENST00000244020.4	1035	SRSF6	2299.4
ENST00000519065.5	1467	HDAC2	2297.9
ENST00000264995.7	1047	MRPL3	2283.9
ENST00000506351.6	2673	TNPO1	2281.8
ENST00000260956.8	1227	SSB	2271.9
ENST00000418458.5	1650	GNL3	2262.3
ENST00000598441.5	1314	SNRNP70	2260.9
ENST00000236959.13	1779	ATIC	2260.1
ENST00000401558.6	3216	XPO1	2256.9
ENST00000542575.6	1626	SLC1A5	2249.4
ENST00000256689.9	1521	SLC38A2	2241.8
ENST00000217971.7	588	PGRMC1	2241.8
ENST00000353411.10	492	SKP1	2232.1
ENST00000265333.7	852	VDAC1	2227.9
ENST00000325307.11	603	HMGB3	2224.6
ENST00000302516.9	3654	SF3B3	2215.8
ENST00000426013.6	972	MORF4L1	2212.7
ENST00000237530.10	1896	RPN2	2204.9
ENST00000373232.7	870	PPA1	2195.2
ENST00000368567.4	255	RPS27	2193.6
ENST00000338639.9	570	PARK7	2191
ENST00000322535.10	2688	SF3B2	2190.3
ENST00000250498.8	342	DAD1	2183.1
ENST00000308924.8	1428	U2AF2	2182.9
ENST00000367679.6	687	CACYBP	2182.3
ENST00000376588.3	1113	PSAT1	2174.5
ENST00000414183.6	1986	EWSR1	2173.7
ENST00000358666.7	222	UBL5	2172.4
ENST00000262056.13	1836	EIF4B	2171.3
ENST00000394186.3	267	ATP5J2	2170.5
ENST00000306749.3	7536	FASN	2168.7
ENST00000313511.7	1368	TUFM	2164.7
ENST00000318911.4	978	CYC1	2159.9
ENST00000338920.8	8454	PRRC2C	2149
ENST00000351328.7	1401	CS	2139.9
ENST00000300688.7	312	ATP5L	2133.8
ENST00000583313.6	525	RBM8A	2122.9
ENST00000337970.7	1248	HNRNPF	2119.5
ENST00000339600.5	246	NDUFA4	2107.7
ENST00000253363.10	1593	RBM39	2106.6
ENST00000372129.3	3774	IRS4	2098.6
ENST00000244520.9	480	SNRPC	2091.9
ENST00000310118.8	2727	PSMD2	2087.2
ENST00000423525.6	1872	TKT	2076.3
ENST00000216714.7	957	APEX1	2073.7
ENST00000398148.7	2136	KHSRP	2071.8
ENST00000216218.7	1110	ST13	2064.3
ENST00000264639.8	1605	PSMD3	2059.9
ENST00000335007.9	972	PPP1CC	2058.1
ENST00000541515.3	1377	C7orf55-LUC7L2	2056.6
ENST00000367142.4	732	NUCKS1	2052.6
ENST00000337620.8	552	CBX3	2052.5
ENST00000391851.8	1062	PRMT1	2052.3
ENST00000323853.9	6411	SNRNP200	2046.7
ENST00000322347.10	453	COX5A	2041.8
ENST00000292807.9	1308	AP2M1	2039.6
ENST00000366813.1	411	H3F3A	2036.7
ENST00000373493.9	1278	RBBP4	2032.7
ENST00000341394.8	2130	CAPRIN1	2020.6
ENST00000300026.3	651	PPIB	2017
ENST00000324545.8	7713	USP9X	2009.1
ENST00000246957.9	2115	TRAP1	2003
ENST00000442738.6	384	POLR2F	2000.5
ENST00000272348.6	231	SNRPG	1996.8
ENST00000344548.7	576	CDC42	1991.6
ENST00000231572.7	1983	RARS	1991.4
ENST00000369622.7	1872	SYNCRIP	1984.4
ENST00000531224.5	2763	BCLAF1	1984.4
ENST00000389266.7	2220	GARS	1983.1
ENST00000313117.10	717	SRSF7	1981.2
ENST00000536684.2	75	MTRNR2L8	1979
ENST00000378364.7	543	APRT	1973.1
ENST00000339872.8	648	HMGB1	1969
ENST00000322028.4	204	POLR2L	1967.5
ENST00000331128.4	393	HIST2H2AB	1967.4
ENST00000264156.2	2466	MCM6	1961.7
ENST00000545606.5	3693	CAND1	1960.6
ENST00000361546.6	3264	UBAP2L	1960.6
ENST00000377401.3	381	HIST1H2BL	1959
ENST00000373365.4	555	GLO1	1958.9
ENST00000366607.4	438	TOMM20	1958.2
ENST00000558401.5	360	B2M	1957.3
ENST00000331483.8	1527	P4HB	1957.1
ENST00000380191.8	1338	GDI2	1953.1
ENST00000227524.8	1515	PRPF19	1950.4
ENST00000346798.7	2313	APP	1948.1
ENST00000300738.9	2379	RRM1	1947.5
ENST00000330029.6	192	UQCR10	1939.9
ENST00000233084.7	2223	DDX1	1937.7
ENST00000373237.3	606	PSMB2	1936.5
ENST00000372635.1	336	NGFRAP1	1932.6
ENST00000260665.11	4185	LRPPRC	1930.8
ENST00000304043.9	381	HINT1	1930.5
ENST00000624234.3	1695	EIF3L	1925.6
ENST00000259457.7	834	PSMB7	1922.8
ENST00000330720.6	639	KDELR1	1922.5
ENST00000283131.3	3159	SMARCA5	1920.7
ENST00000327300.11	1332	KHDRBS1	1918.7
ENST00000272227.7	1323	PDIA6	1917.6
ENST00000617569.1	312	HIST1H4A	1915.2
ENST00000612898.1	381	HIST1H2BN	1911
ENST00000296255.7	1824	RPN1	1903.9
ENST00000376007.8	6474	PRRC2A	1903.4
ENST00000371144.7	3696	STAG2	1902.2
ENST00000423485.5	4596	TOP2A	1896.8
ENST00000268379.8	1362	UQCRC2	1894.1
ENST00000216190.12	1647	EIF3D	1893.8
ENST00000396394.6	792	PSMA1	1892.9
ENST00000372134.5	1038	GHITM	1889.6
ENST00000260641.9	1185	ACTR2	1887.4
ENST00000281031.4	360	NDUFC2	1880.2
ENST00000539276.6	3129	ATP2A2	1879.6
ENST00000263645.9	711	CD81	1876
ENST00000228825.11	537	ARPC3	1860.5
ENST00000276689.7	540	NDUFB9	1858.2
ENST00000339399.4	756	ANP32B	1853.9
ENST00000375048.7	1371	DDOST	1851.5
ENST00000286371.7	840	ATP1B3	1845.9
ENST00000286091.8	1938	PDIA4	1840.5
ENST00000236051.2	921	EBNA1BP2	1838
ENST00000303127.11	1071	LMAN2	1835.8
ENST00000368884.7	1134	PSMD4	1834.2
ENST00000215071.8	1053	PSMD8	1832.5
ENST00000242577.10	270	DYNLL1	1831
ENST00000298556.7	657	HPRT1	1829.6
ENST00000358528.8	2397	CSDE1	1815.3
ENST00000314595.5	3525	POLR2B	1812
ENST00000419869.6	1053	STRAP	1809.3
ENST00000233468.4	378	SF3B6	1804.3
ENST00000394936.7	1575	PSAP	1800.1
ENST00000246554.7	261	COX6B1	1797.9
ENST00000218516.3	1290	GLA	1797.2
ENST00000216479.7	1017	AHSA1	1794.9
ENST00000271308.8	726	PSMA5	1788.6
ENST00000526683.5	1680	PUF60	1786.8
ENST00000355938.9	411	ATP5G1	1783.1
ENST00000324366.12	1914	PRMT5	1782.1
ENST00000270586.7	720	PSMB6	1777.8
ENST00000331569.5	1773	ZNF703	1776.2
ENST00000381815.8	3033	GART	1774
ENST00000398881.3	225	TOMM6	1772.5
ENST00000001008.5	1380	FKBP4	1764.6
ENST00000303577.6	1071	PCBP1	1762.9
ENST00000320912.8	384	MRFAP1	1756.1
ENST00000368845.5	1320	OAT	1754.6
ENST00000589838.5	1587	PRKCSH	1753.2
ENST00000295682.4	489	KRTCAP2	1752.4
ENST00000310931.8	3807	HDLBP	1750
ENST00000300413.9	360	SNRPD1	1746.9
ENST00000354926.8	1179	LUC7L2	1745.7
ENST00000317147.9	7131	CNOT1	1744
ENST00000331457.8	1104	DRG1	1743.8
ENST00000262854.10	13125	HUWE1	1739.1
ENST00000292123.9	2748	SAFB	1738.1
ENST00000227503.13	1647	SF1	1737.9
ENST00000216455.8	768	PSMA3	1736.9
ENST00000297564.6	228	COX6C	1734.4
ENST00000352433.9	609	PTTG1	1734.4
ENST00000258424.2	390	COX5B	1734
ENST00000394434.6	3531	LARS	1733.3
ENST00000216297.6	3144	SUPT16H	1725
ENST00000304734.9	741	RPL7L1	1719.9
ENST00000329276.9	1785	NOP56	1716.6
ENST00000273550.11	552	FTH1	1713.4
ENST00000219782.10	1482	MAZ	1713.2
ENST00000321442.9	969	SFXN1	1713
ENST00000320857.7	522	SSR4	1712.3
ENST00000379341.8	816	PRDX4	1712
ENST00000215793.12	2382	SF3A1	1711.3
ENST00000296543.9	2601	NAA15	1709
ENST00000225972.7	924	LRRC59	1707.7
ENST00000265056.11	2715	MCM2	1705.9
ENST00000256442.9	1302	CCNB1	1694
ENST00000245206.9	1293	GOT2	1691.2
ENST00000243253.7	1431	SEC61A1	1690.4
ENST00000379847.7	387	NDUFB6	1689.7
ENST00000368608.3	1314	TSPYL1	1689.5
ENST00000272163.8	1848	LBR	1689
ENST00000356657.10	1260	FDPS	1688.8
ENST00000380842.4	426	POMP	1687.4
ENST00000529230.5	6099	CKAP5	1684.2
ENST00000397239.7	1128	DEK	1675
ENST00000308961.4	426	NDUFA11	1674
ENST00000217426.6	1299	AHCY	1671.9
ENST00000535923.5	900	PHB2	1670.5
ENST00000370873.8	747	PSMA7	1669.9
ENST00000392708.8	2118	STT3A	1665.4
ENST00000356455.8	540	UBE2C	1665.2
ENST00000557943.5	1002	ETFA	1663.9
ENST00000229390.7	666	SRSF9	1659.4
ENST00000266732.8	2085	TMPO	1658.8
ENST00000254718.8	3987	MYBBP1A	1656.2
ENST00000296511.9	963	ANXA5	1654.2
ENST00000263239.6	2013	DDX18	1651.6
ENST00000426333.6	2919	EFTUD2	1646.9
ENST00000265896.9	1725	SQLE	1633.2
ENST00000240185.7	1245	TARDBP	1633.2
ENST00000261875.9	1089	HACD3	1631.5
ENST00000234091.8	405	ID2	1629.3
ENST00000253108.8	963	EIF3G	1627.7
ENST00000361611.10	792	PSMB5	1625.4
ENST00000285930.8	951	AKR1B1	1622.7
ENST00000373477.8	1587	YARS	1621.9
ENST00000175506.8	1686	ASNS	1619.2
ENST00000281141.8	1011	CDC123	1618.5
ENST00000331835.9	498	SEP15	1613.6
ENST00000360541.9	1314	ETF1	1608.6
ENST00000605788.5	2100	NOLC1	1604.5
ENST00000301730.12	918	RNPS1	1601.7
ENST00000265087.8	909	STC2	1600.9
ENST00000264552.13	669	UBE2S	1600
ENST00000323666.9	1437	METAP2	1598.6
ENST00000327044.6	2250	NOC2L	1598.5
ENST00000312175.6	270	BANF1	1596.2
ENST00000605844.5	1779	TAF15	1592.9
ENST00000309579.7	177	USMG5	1592.4
ENST00000254480.9	3318	SMARCC1	1591.5
ENST00000372435.8	957	PRPS1	1588.2
ENST00000375433.3	1569	RCC2	1588
ENST00000256854.9	1647	NARS	1584.7
ENST00000332211.10	885	VDAC2	1583
ENST00000377767.8	2877	DIS3	1575.6
ENST00000308696.10	2862	PSMD1	1574.9
ENST00000360051.7	1086	SEPT2	1571.4
ENST00000322213.8	3702	SMC1A	1570.9
ENST00000286428.5	594	VBP1	1565
ENST00000261479.8	741	PSMA6	1560.6
ENST00000356634.7	2559	KDM1A	1560.3
ENST00000595090.5	1392	RUVBL2	1557.9
ENST00000007516.7	471	NDUFAB1	1556.9
ENST00000367569.3	261	SF3B5	1550
ENST00000530705.5	519	TPT1	1549.9
ENST00000382533.8	519	SAP18	1543.1
ENST00000219169.8	384	NUTF2	1529.7
ENST00000358015.7	1230	RAD23B	1518.7
ENST00000507754.8	435	NDUFA13	1517.9
ENST00000481195.5	930	PPP2CA	1513.8
ENST00000409600.5	1260	BZW1	1510.9
ENST00000344722.5	3867	SMC4	1509
ENST00000216225.8	327	RBX1	1508
ENST00000225726.9	1452	CCDC47	1507.8
ENST00000292644.4	1302	PSMC2	1507.5
ENST00000361337.2	2298	TOP1	1499
ENST00000394366.6	819	SRSF5	1498.9
ENST00000314606.8	1527	FARSA	1496.1
ENST00000374561.5	360	ID3	1493.9
ENST00000297071.8	849	TRA2A	1492.9
