transcript_id	length	gene_name	counts
ENST00000453386.6	867	TRA2B	4158.7
ENST00000299166.8	561	NDUFB8	4138.6
ENST00000272227.7	1323	PDIA6	4137.8
ENST00000360319.8	7920	FLNA	4127.7
ENST00000527673.1	378	RPS25	4127.2
ENST00000264279.9	1590	NOP58	4127
ENST00000358901.10	2421	VCP	4123.7
ENST00000339697.4	1362	SERINC1	4122.6
ENST00000311223.9	1122	GLUL	4098.9
ENST00000358528.8	2397	CSDE1	4097.6
ENST00000341369.11	336	PTMA	4078.1
ENST00000328923.7	1515	SHMT2	4077.7
ENST00000395422.3	456	CHCHD2	4074
ENST00000310118.8	2727	PSMD2	4071.6
ENST00000216190.12	1647	EIF3D	4069.4
ENST00000373493.9	1278	RBBP4	4063.6
ENST00000296255.7	1824	RPN1	4063.5
ENST00000305786.6	318	CYCS	4062.7
ENST00000360876.8	2445	EIF3B	4055.5
ENST00000301522.2	597	PRDX2	4003
ENST00000227524.8	1515	PRPF19	3989.9
ENST00000373365.4	555	GLO1	3989.2
ENST00000557016.5	315	ERH	3981.1
ENST00000545606.5	3693	CAND1	3966.1
ENST00000245206.9	1293	GOT2	3964.3
ENST00000249923.7	2862	COPB1	3955.9
ENST00000265056.11	2715	MCM2	3952.7
ENST00000371222.3	996	JUN	3942
ENST00000272163.8	1848	LBR	3941.3
ENST00000619426.4	618	PSMB3	3936.6
ENST00000253452.6	510	COX4I1	3934.3
ENST00000258962.4	747	SRSF1	3926.9
ENST00000423316.6	1944	EEF1D	3917.9
ENST00000322535.10	2688	SF3B2	3902.6
ENST00000314595.5	3525	POLR2B	3894.1
ENST00000339872.8	648	HMGB1	3880.8
ENST00000369622.7	1872	SYNCRIP	3874.1
ENST00000264995.7	1047	MRPL3	3869.7
ENST00000262056.13	1836	EIF4B	3866
ENST00000318607.9	1911	PABPC1	3849.7
ENST00000372635.1	336	NGFRAP1	3846.3
ENST00000372134.5	1038	GHITM	3845.2
ENST00000380191.8	1338	GDI2	3844.9
ENST00000374825.8	2406	BRD2	3819.5
ENST00000372967.3	321	NDUFS5	3817.8
ENST00000233893.9	309	HSPE1	3813.6
ENST00000624234.3	1695	EIF3L	3804.2
ENST00000259457.7	834	PSMB7	3800
ENST00000302516.9	3654	SF3B3	3789.5
ENST00000373477.8	1587	YARS	3775.5
ENST00000373237.3	606	PSMB2	3757.3
ENST00000394366.6	819	SRSF5	3752.3
ENST00000418458.5	1650	GNL3	3747.9
ENST00000357865.6	450	STMN1	3747.4
ENST00000366695.3	393	HIST3H2A	3738.8
ENST00000507754.8	435	NDUFA13	3736.3
ENST00000233468.4	378	SF3B6	3732.3
ENST00000310931.8	3807	HDLBP	3728
ENST00000320307.8	600	TAGLN2	3723.9
ENST00000237530.10	1896	RPN2	3721.4
ENST00000351328.7	1401	CS	3713.7
ENST00000338639.9	570	PARK7	3711.8
ENST00000225792.9	1845	DDX5	3701.2
ENST00000394936.7	1575	PSAP	3687.2
ENST00000589838.5	1587	PRKCSH	3683.4
ENST00000548293.5	456	MYL6	3683.1
ENST00000283195.10	9675	RANBP2	3672.8
ENST00000276689.7	540	NDUFB9	3670.5
ENST00000215829.7	381	SNRPD3	3664.2
ENST00000377401.3	381	HIST1H2BL	3660.7
ENST00000465139.6	750	ANP32A	3645.7
ENST00000350608.7	357	DDT	3637.6
ENST00000317147.9	7131	CNOT1	3634.5
ENST00000322213.8	3702	SMC1A	3633.5
ENST00000272102.9	546	ARF1	3628.8
ENST00000281031.4	360	NDUFC2	3626.8
ENST00000557395.5	519	RP11-411B6.6	3625.6
ENST00000241704.7	3675	COPA	3610.3
ENST00000217971.7	588	PGRMC1	3600.9
ENST00000332211.10	885	VDAC2	3600.3
ENST00000322347.10	453	COX5A	3591
ENST00000261590.12	3357	DSG2	3586.2
ENST00000391851.8	1062	PRMT1	3570.7
ENST00000318911.4	978	CYC1	3568.2
ENST00000324366.12	1914	PRMT5	3555
ENST00000308924.8	1428	U2AF2	3549
ENST00000268668.10	519	NDUFB10	3545.9
ENST00000337620.8	552	CBX3	3542.7
ENST00000541515.3	1377	C7orf55-LUC7L2	3525.5
ENST00000602676.6	687	OAZ1	3522.4
ENST00000297071.8	849	TRA2A	3521.6
ENST00000327300.11	1332	KHDRBS1	3514
ENST00000368567.4	255	RPS27	3507
ENST00000314133.3	210	COX8A	3502
ENST00000231498.7	4176	NUP155	3493.7
ENST00000321233.10	1437	ZNF207	3493.5
ENST00000300026.3	651	PPIB	3492.4
ENST00000272274.8	483	RPL21	3476.2
ENST00000246548.8	1923	UBA2	3475.7
ENST00000265087.8	909	STC2	3474.7
ENST00000367378.5	858	PCMT1	3461.2
ENST00000215071.8	1053	PSMD8	3460.9
ENST00000218516.3	1290	GLA	3459.9
ENST00000337970.7	1248	HNRNPF	3447.8
ENST00000372435.8	957	PRPS1	3447
ENST00000219782.10	1482	MAZ	3444.5
ENST00000367478.8	7092	TPR	3441.8
ENST00000372577.2	5250	NUP188	3437.6
ENST00000303577.6	1071	PCBP1	3437
ENST00000258341.4	4830	LAMC1	3426.4
ENST00000253363.10	1593	RBM39	3421.9
ENST00000296577.8	1800	ABCE1	3407.1
ENST00000356126.7	1371	PSMD12	3390.9
ENST00000286091.8	1938	PDIA4	3386.6
ENST00000254480.9	3318	SMARCC1	3376.8
ENST00000368608.3	1314	TSPYL1	3362.6
ENST00000331569.5	1773	ZNF703	3361.9
ENST00000228825.11	537	ARPC3	3354.9
ENST00000377767.8	2877	DIS3	3345.2
ENST00000265073.8	384	SUB1	3339.7
ENST00000529230.5	6099	CKAP5	3333.9
ENST00000481195.5	930	PPP2CA	3333.4
ENST00000361804.4	3654	SMC3	3332.1
ENST00000339600.5	246	NDUFA4	3328.7
ENST00000296543.9	2601	NAA15	3320
ENST00000216455.8	768	PSMA3	3316
ENST00000296503.9	630	HMGB2	3308.4
ENST00000330720.6	639	KDELR1	3303.1
ENST00000243326.9	7419	RIF1	3298
ENST00000368845.5	1320	OAT	3294.7
ENST00000243253.7	1431	SEC61A1	3288
ENST00000426013.6	972	MORF4L1	3279.8
ENST00000375048.7	1371	DDOST	3273.3
ENST00000244520.9	480	SNRPC	3269.6
ENST00000262027.9	2703	MARS	3266.8
ENST00000376007.8	6474	PRRC2A	3265.6
ENST00000298556.7	657	HPRT1	3259.7
ENST00000261313.2	564	PEBP1	3250
ENST00000260443.8	492	RSL24D1	3249.2
ENST00000296511.9	963	ANXA5	3238.8
ENST00000297338.6	1896	RAD21	3233.6
ENST00000261875.9	1089	HACD3	3231.7
ENST00000304734.9	741	RPL7L1	3213.6
ENST00000205402.9	1530	DLD	3202.8
ENST00000501597.3	78	RPL41	3186
ENST00000322623.9	1371	RUVBL1	3182
ENST00000558401.5	360	B2M	3181
ENST00000380733.8	1593	PSIP1	3173.3
ENST00000613174.1	393	HIST1H2AL	3171.3
ENST00000366955.7	9345	CENPF	3171.1
ENST00000375254.7	15552	UBR4	3168.6
ENST00000296122.10	984	PPP1CB	3168
ENST00000360051.7	1086	SEPT2	3161
ENST00000248342.8	657	EIF3K	3159.9
ENST00000246554.7	261	COX6B1	3149
ENST00000557943.5	1002	ETFA	3148.9
ENST00000234875.8	387	RPL22	3139.8
ENST00000264161.8	1506	DARS	3139.3
ENST00000613283.1	1365	MYC	3132.6
ENST00000229379.2	330	COX6A1	3128.6
ENST00000366607.4	438	TOMM20	3124.1
ENST00000356978.8	450	CALM1	3115.4
ENST00000397239.7	1128	DEK	3114.2
ENST00000379341.8	816	PRDX4	3113.9
ENST00000530054.1	345	NDUFC2-KCTD14	3105.9
ENST00000265866.11	1041	HNRNPH3	3100.9
ENST00000335007.9	972	PPP1CC	3082.5
ENST00000211379.9	3381	BAG6	3073.6
ENST00000372397.6	405	TSC22D3	3066.4
ENST00000369550.9	1545	DKC1	3061.9
ENST00000001008.5	1380	FKBP4	3058.8
ENST00000357008.6	5739	CHD4	3055.8
ENST00000287667.11	3669	NOMO1	3053.5
ENST00000356530.5	381	HIST1H2BF	3046.4
ENST00000261396.5	3471	NUP133	3039
ENST00000311672.9	276	UQCRH	3033.5
ENST00000355196.6	3663	SEC31A	3029.8
ENST00000215793.12	2382	SF3A1	3027.7
ENST00000308696.10	2862	PSMD1	3018.8
ENST00000419869.6	1053	STRAP	3018.3
ENST00000343106.9	447	UBE2D3	3015.5
ENST00000492112.2	789	SRSF10	3014.1
ENST00000361951.4	1938	DARS2	3012.1
ENST00000215567.9	927	TECR	3011.5
ENST00000361427.5	273	HMGN2	2997.8
ENST00000496455.6	2082	GMPS	2994.5
ENST00000354725.7	2733	SND1	2990.4
ENST00000368865.8	987	BUB3	2988.1
ENST00000281828.6	1770	FARSB	2987.4
ENST00000265351.11	3615	XPO5	2985.9
ENST00000256854.9	1647	NARS	2982.2
ENST00000261479.8	741	PSMA6	2978.9
ENST00000623063.3	1455	ADSL	2976.1
ENST00000360541.9	1314	ETF1	2974.4
ENST00000203407.5	1443	UQCRC1	2972.7
ENST00000339399.4	756	ANP32B	2971.7
ENST00000378460.6	4311	NUP160	2969
ENST00000286371.7	840	ATP1B3	2963.5
ENST00000356805.8	7095	SPTBN1	2961.6
ENST00000216714.7	957	APEX1	2956.3
ENST00000335514.9	321	ATPIF1	2954.1
ENST00000378364.7	543	APRT	2953.1
ENST00000223321.8	705	PSMA2	2948.5
ENST00000442788.5	705	RP11-111K18.1	2948.5
ENST00000284440.8	672	UCHL1	2946
ENST00000270586.7	720	PSMB6	2943.5
ENST00000264028.4	1536	ARCN1	2942.2
ENST00000285930.8	951	AKR1B1	2941.8
ENST00000356634.7	2559	KDM1A	2941.5
ENST00000392006.7	2571	HNRNPUL1	2937.7
ENST00000297564.6	228	COX6C	2931.7
ENST00000308961.4	426	NDUFA11	2928.9
ENST00000265333.7	852	VDAC1	2922.5
ENST00000331128.4	393	HIST2H2AB	2921
ENST00000373019.4	1506	SF3A3	2917.8
ENST00000370873.8	747	PSMA7	2906.7
ENST00000373548.7	1449	HDAC1	2903.5
ENST00000333188.9	2721	COPB2	2898
ENST00000394053.6	1053	MTHFD2	2881.3
ENST00000358075.10	1104	MAGT1	2880.1
ENST00000228136.8	552	C11orf58	2854.7
ENST00000342274.8	5166	BCOR	2854
ENST00000331483.8	1527	P4HB	2846.6
ENST00000414487.6	279	SNRPE	2843
ENST00000266732.8	2085	TMPO	2842.8
ENST00000505490.2	795	ALYREF	2839.1
ENST00000605788.5	2100	NOLC1	2833.7
ENST00000217426.6	1299	AHCY	2827.2
ENST00000320857.7	522	SSR4	2824.7
ENST00000303127.11	1071	LMAN2	2822
ENST00000216392.7	2544	PYGL	2819.3
ENST00000340384.4	1338	TUBB4B	2809.2
ENST00000314606.8	1527	FARSA	2808.3
ENST00000323666.9	1437	METAP2	2808.2
ENST00000184266.2	390	NDUFB4	2806.1
ENST00000252934.9	1428	ATXN10	2798.9
ENST00000422285.6	1173	PDHA1	2792.3
ENST00000404115.7	2742	CUL4B	2792
ENST00000267970.8	762	TSPAN3	2791.1
ENST00000372548.8	2568	CXorf57	2791
ENST00000371142.8	1770	TM9SF3	2790
ENST00000263239.6	2013	DDX18	2788.4
ENST00000356956.5	7476	IGF2R	2786.2
ENST00000236051.2	921	EBNA1BP2	2782.1
