"notstall"	"other"	"stall"	"n"	"mu"	"sigma"	"z"	"gene_name"
"46"	8	1	0	8	2.11591886642932	1.24750943293643	-1.69611452271651	"VCPKMT"
"47"	8	4	0	8	2.11591886642932	1.24750943293643	-1.69611452271651	"RLN3"
"48"	8	12	0	8	2.11591886642932	1.24750943293643	-1.69611452271651	"SHTN1"
"49"	18	41	2	20	5.28979716607329	1.9724856053121	-1.66784343430114	"ERBB2IP"
"50"	13	15	1	14	3.7028580162513	1.6502998588785	-1.63779812602547	"PXK"
"51"	13	12	1	14	3.7028580162513	1.6502998588785	-1.63779812602547	"TUFT1"
"52"	7	12	0	7	1.85142900812565	1.16693822120419	-1.58656985818419	"UPP2"
"53"	7	3	0	7	1.85142900812565	1.16693822120419	-1.58656985818419	"MPV17"
"54"	7	12	0	7	1.85142900812565	1.16693822120419	-1.58656985818419	"SCARB2"
"55"	7	2	0	7	1.85142900812565	1.16693822120419	-1.58656985818419	"TIMP4"
"56"	7	6	0	7	1.85142900812565	1.16693822120419	-1.58656985818419	"MDP1"
"57"	7	4	0	7	1.85142900812565	1.16693822120419	-1.58656985818419	"FAM96A"
"58"	7	23	0	7	1.85142900812565	1.16693822120419	-1.58656985818419	"ZFP3"
"59"	7	7	0	7	1.85142900812565	1.16693822120419	-1.58656985818419	"NCR3LG1"
"60"	7	3	0	7	1.85142900812565	1.16693822120419	-1.58656985818419	"IFITM10"
"61"	7	13	0	7	1.85142900812565	1.16693822120419	-1.58656985818419	"LRRC39"
"62"	7	13	0	7	1.85142900812565	1.16693822120419	-1.58656985818419	"AGK"
"63"	7	29	0	7	1.85142900812565	1.16693822120419	-1.58656985818419	"ZNF329"
"64"	7	15	0	7	1.85142900812565	1.16693822120419	-1.58656985818419	"ZNF675"
"65"	7	4	0	7	1.85142900812565	1.16693822120419	-1.58656985818419	"LAT"
"66"	7	15	0	7	1.85142900812565	1.16693822120419	-1.58656985818419	"ZFP2"
"67"	7	19	0	7	1.85142900812565	1.16693822120419	-1.58656985818419	"OMA1"
"68"	7	7	0	7	1.85142900812565	1.16693822120419	-1.58656985818419	"SSBP3"
"69"	7	4	0	7	1.85142900812565	1.16693822120419	-1.58656985818419	"TSPAN14"
"70"	7	7	0	7	1.85142900812565	1.16693822120419	-1.58656985818419	"IFT52"
"71"	7	8	0	7	1.85142900812565	1.16693822120419	-1.58656985818419	"MGME1"
"72"	7	8	0	7	1.85142900812565	1.16693822120419	-1.58656985818419	"FRG2"
"73"	7	4	0	7	1.85142900812565	1.16693822120419	-1.58656985818419	"C17orf107"
"74"	7	1	0	7	1.85142900812565	1.16693822120419	-1.58656985818419	"CPLX3"
"75"	7	4	0	7	1.85142900812565	1.16693822120419	-1.58656985818419	"ANP32A"
"76"	7	7	0	7	1.85142900812565	1.16693822120419	-1.58656985818419	"MANF"
"77"	17	33	2	19	5.02530730776962	1.92254115430731	-1.57359820412253	"TTF1"
"78"	17	11	2	19	5.02530730776962	1.92254115430731	-1.57359820412253	"DKC1"
"79"	17	38	2	19	5.02530730776962	1.92254115430731	-1.57359820412253	"ZNF418"
"80"	17	28	2	19	5.02530730776962	1.92254115430731	-1.57359820412253	"ZNF709"
"81"	33	81	6	39	10.3151044738429	2.7544262475457	-1.56660737519759	"LPA"
"82"	21	28	3	24	6.34775659928795	2.16074972076734	-1.54934954618394	"GOLGA6L1"
"83"	25	26	4	29	7.67020589080627	2.3751871971672	-1.54522805410184	"SMG8"
"84"	12	16	1	13	3.43836815794764	1.59026873548348	-1.53330572596984	"SNX4"
"85"	12	5	1	13	3.43836815794764	1.59026873548348	-1.53330572596984	"C19orf80"
"86"	12	21	1	13	3.43836815794764	1.59026873548348	-1.53330572596984	"ZFYVE16"
"87"	12	9	1	13	3.43836815794764	1.59026873548348	-1.53330572596984	"NUTM2G"
"88"	12	14	1	13	3.43836815794764	1.59026873548348	-1.53330572596984	"STRN3"
"89"	12	14	1	13	3.43836815794764	1.59026873548348	-1.53330572596984	"FAM155A"
"90"	12	11	1	13	3.43836815794764	1.59026873548348	-1.53330572596984	"CDK8"
"91"	16	19	2	18	4.76081744946596	1.87126414940465	-1.47537559053025	"ACSL1"
"92"	16	24	2	18	4.76081744946596	1.87126414940465	-1.47537559053025	"USP38"
"93"	6	6	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"SIKE1"
"94"	6	6	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"BATF3"
"95"	6	3	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"CHMP2B"
"96"	6	7	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"SEC22C"
"97"	6	13	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"ANXA3"
"98"	6	5	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"STMN4"
"99"	6	5	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"PCTP"
"100"	6	2	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"FAM219A"
"101"	6	4	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"SLC39A2"
"102"	6	7	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"IKBIP"
"103"	6	6	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"SCG5"
"104"	6	3	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"ELOVL6"
"105"	6	9	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"TMEM192"
"106"	6	14	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"HTR1F"
"107"	6	19	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"ZNF454"
"108"	6	3	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"TMEM45A"
"109"	6	18	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"CCDC121"
"110"	6	23	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"NAB1"
"111"	6	11	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"SGCD"
"112"	6	7	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"ATF3"
"113"	6	11	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"ZCCHC17"
"114"	6	12	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"POU1F1"
"115"	6	7	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"SLC25A26"
"116"	6	9	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"ADPRH"
"117"	6	25	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"CASP8"
"118"	6	1	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"MPC1"
"119"	6	12	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"SLC16A12"
"120"	6	7	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"ERI3"
"121"	6	3	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"HMGCL"
"122"	6	2	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"LYPLA2"
"123"	6	25	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"ZNF559"
"124"	6	15	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"MEIOB"
"125"	6	15	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"RNF212B"
"126"	6	2	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"SAMD12"
"127"	6	13	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"PILRB"
"128"	6	2	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"SYNPR"
"129"	6	6	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"YAF2"
"130"	6	1	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"C16orf52"
"131"	6	3	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"TIMM23"
"132"	6	6	0	6	1.58693914982199	1.08037486038367	-1.46887826440021	"SLC35E2B"
"133"	11	23	1	12	3.17387829964397	1.52788078000152	-1.42280623468659	"ZNF750"
"134"	11	6	1	12	3.17387829964397	1.52788078000152	-1.42280623468659	"CES5A"
"135"	11	10	1	12	3.17387829964397	1.52788078000152	-1.42280623468659	"METAP1"
"136"	11	20	1	12	3.17387829964397	1.52788078000152	-1.42280623468659	"SAV1"
"137"	11	15	1	12	3.17387829964397	1.52788078000152	-1.42280623468659	"ACOT9"
"138"	11	7	1	12	3.17387829964397	1.52788078000152	-1.42280623468659	"LIN54"
"139"	11	12	1	12	3.17387829964397	1.52788078000152	-1.42280623468659	"MVB12B"
"140"	11	7	1	12	3.17387829964397	1.52788078000152	-1.42280623468659	"NCF2"
"141"	11	12	1	12	3.17387829964397	1.52788078000152	-1.42280623468659	"PTPN1"
"142"	11	2	1	12	3.17387829964397	1.52788078000152	-1.42280623468659	"MEAF6"
"143"	11	25	1	12	3.17387829964397	1.52788078000152	-1.42280623468659	"RAD17"
"144"	11	6	1	12	3.17387829964397	1.52788078000152	-1.42280623468659	"CASP14"
"145"	11	18	1	12	3.17387829964397	1.52788078000152	-1.42280623468659	"ZNF257"
"146"	15	1	2	17	4.4963275911623	1.81854187295452	-1.37270833753561	"CTDSP1"
"147"	15	7	2	17	4.4963275911623	1.81854187295452	-1.37270833753561	"SELV"
"148"	15	7	2	17	4.4963275911623	1.81854187295452	-1.37270833753561	"GRAP2"
"149"	15	8	2	17	4.4963275911623	1.81854187295452	-1.37270833753561	"QRICH1"
"150"	15	11	2	17	4.4963275911623	1.81854187295452	-1.37270833753561	"BCO2"
"151"	15	30	2	17	4.4963275911623	1.81854187295452	-1.37270833753561	"TTC24"
"152"	15	15	2	17	4.4963275911623	1.81854187295452	-1.37270833753561	"MUC20"
"153"	23	10	4	27	7.14122617419894	2.29182117000228	-1.37062446900942	"DBN1"
"154"	19	4	3	22	5.81877688268062	2.06876035573959	-1.36254393838328	"B3GAT3"
"155"	5	8	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"SPG21"
"156"	5	7	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"NUP37"
"157"	5	3	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"ELN"
"158"	5	8	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"MED4"
"159"	5	2	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"CIB2"
"160"	5	2	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"COPZ1"
"161"	5	1	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"DESI1"
"162"	5	11	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"PAICS"
"163"	5	9	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"CDV3"
"164"	5	5	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"RAB7A"
"165"	5	4	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"UBE2B"
"166"	5	0	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"EMP3"
"167"	5	9	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"C8orf76"
"168"	5	1	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"LSM6"
"169"	5	16	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"EFCAB3"
"170"	5	4	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"LSM3"
"171"	5	4	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"OLR1"
"172"	5	4	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"OR10A6"
"173"	5	3	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"SCAMP4"
"174"	5	8	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"PRTFDC1"
"175"	5	14	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"XRCC4"
"176"	5	1	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"NDUFV3"
"177"	5	10	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"BROX"
"178"	5	15	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"PLEKHG7"
"179"	5	0	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"C20orf24"
"180"	5	9	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"FAM114A2"
"181"	5	3	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"ELOVL2"
"182"	5	2	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"NACA"
"183"	5	12	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"RRAGD"
"184"	5	3	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"VTCN1"
"185"	5	9	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"SPATA25"
"186"	5	4	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"CCDC167"
"187"	5	3	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"PFDN6"
"188"	5	4	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"CLIC1"
"189"	5	6	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"NPPA"
"190"	5	10	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"SLC17A4"
"191"	5	12	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"NANOGNB"
"192"	5	9	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"C1QTNF9B"
"193"	5	10	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"FGF9"
"194"	5	8	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"LIPN"
"195"	5	8	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"PRR16"
"196"	5	10	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"TBL1XR1"
"197"	5	8	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"TARM1"
"198"	5	6	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"RAB9A"
"199"	5	8	0	5	1.32244929151832	0.98624280265605	-1.34089626606839	"PRELID2"
"200"	37	15	8	45	11.9020436236649	2.95872840796815	-1.31882453731012	"GLTSCR2"
"201"	10	6	1	11	2.90938844134031	1.46283447619336	-1.3052662296482	"POLR2C"
"202"	10	20	1	11	2.90938844134031	1.46283447619336	-1.3052662296482	"UTP15"
"203"	10	15	1	11	2.90938844134031	1.46283447619336	-1.3052662296482	"NCL"
"204"	10	20	1	11	2.90938844134031	1.46283447619336	-1.3052662296482	"FUT10"
"205"	10	13	1	11	2.90938844134031	1.46283447619336	-1.3052662296482	"DBX2"
"206"	10	29	1	11	2.90938844134031	1.46283447619336	-1.3052662296482	"CIR1"
"207"	10	8	1	11	2.90938844134031	1.46283447619336	-1.3052662296482	"SGMS1"
"208"	10	29	1	11	2.90938844134031	1.46283447619336	-1.3052662296482	"USP33"
"209"	10	15	1	11	2.90938844134031	1.46283447619336	-1.3052662296482	"ABI1"
"210"	10	0	1	11	2.90938844134031	1.46283447619336	-1.3052662296482	"KIAA1644"
"211"	10	19	1	11	2.90938844134031	1.46283447619336	-1.3052662296482	"TIGD7"
"212"	10	28	1	11	2.90938844134031	1.46283447619336	-1.3052662296482	"ZC2HC1C"
"213"	14	18	2	16	4.23183773285863	1.76424475924707	-1.26503860712111	"LNPEP"
"214"	14	31	2	16	4.23183773285863	1.76424475924707	-1.26503860712111	"PRKG2"
"215"	14	16	2	16	4.23183773285863	1.76424475924707	-1.26503860712111	"CSNK1G1"
"216"	14	23	2	16	4.23183773285863	1.76424475924707	-1.26503860712111	"LNX2"
"217"	14	14	2	16	4.23183773285863	1.76424475924707	-1.26503860712111	"RPH3AL"
"218"	14	14	2	16	4.23183773285863	1.76424475924707	-1.26503860712111	"PDPK1"
"219"	14	6	2	16	4.23183773285863	1.76424475924707	-1.26503860712111	"SIRT5"
"220"	18	11	3	21	5.55428702437695	2.02119628841971	-1.26375010631651	"AJAP1"
"221"	25	21	5	30	7.93469574910993	2.41579162899973	-1.2147967208269	"RIN2"
"222"	25	26	5	30	7.93469574910993	2.41579162899973	-1.2147967208269	"BICD1"
"223"	25	33	5	30	7.93469574910993	2.41579162899973	-1.2147967208269	"FAM135B"
"224"	25	51	5	30	7.93469574910993	2.41579162899973	-1.2147967208269	"ROCK1"
"225"	4	11	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"RALA"
"226"	4	5	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"REEP1"
"227"	4	2	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"PON1"
"228"	4	4	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"YAE1D1"
"229"	4	5	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"SLC25A2"
"230"	4	6	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"ADORA3"
"231"	4	5	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"NPY"
"232"	4	4	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"RNF11"
"233"	4	5	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"AIF1L"
"234"	4	3	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"EMC6"
"235"	4	4	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"C12orf65"
"236"	4	6	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"SLC39A11"
"237"	4	2	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"MED10"
"238"	4	10	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"SLC16A7"
"239"	4	13	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"MNAT1"
"240"	4	20	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"ZNF430"
"241"	4	6	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"ARL1"
"242"	4	6	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"TMED2"
"243"	4	2	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"IL1B"
"244"	4	10	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"OCIAD1"
"245"	4	19	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"DBF4"
"246"	4	7	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"SRI"
"247"	4	4	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"ARL5C"
"248"	4	3	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"FABP2"
"249"	4	3	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"COMMD10"
"250"	4	7	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"SPC25"
"251"	4	9	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"CFDP1"
"252"	4	14	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"C16orf87"
"253"	4	3	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"TFF2"
"254"	4	19	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"VCAM1"
"255"	4	2	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"VSNL1"
"256"	4	6	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"SPATA33"
"257"	4	3	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"CTLA4"
"258"	4	3	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"TSPAN5"
"259"	4	5	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"MRPL48"
"260"	4	19	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"ZNF431"
"261"	4	1	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"RPL38"
"262"	4	1	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"BANF1"
"263"	4	3	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"PFN4"
"264"	4	14	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"LRRC31"
"265"	4	15	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"NOSTRIN"
"266"	4	10	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"TRIM69"
"267"	4	10	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"MAGEA2B"
"268"	4	10	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"TMEM105"
"269"	4	9	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"CDKN3"
"270"	4	5	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"OR1J2"
"271"	4	7	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"LIPA"
"272"	4	6	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"TAF13"
"273"	4	6	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"ANP32B"
"274"	4	10	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"TMEM202"
"275"	4	6	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"SERPINB13"
"276"	4	1	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"IL36RN"
"277"	4	12	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"CFAP36"
"278"	4	6	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"SAA1"
"279"	4	4	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"TNFRSF10C"
"280"	4	23	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"ZNF23"
"281"	4	5	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"GIP"
"282"	4	10	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"METTL20"
"283"	4	5	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"RAD23B"
"284"	4	5	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"OR10A3"
"285"	4	8	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"GINM1"
"286"	4	10	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"UCHL5"
"287"	4	9	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"TIPRL"
"288"	4	1	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"BLOC1S2"
"289"	4	3	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"NCS1"
"290"	4	3	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"C1orf50"
"291"	4	0	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"URM1"
"292"	4	6	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"PBDC1"
"293"	4	18	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"ZNF32"
"294"	4	6	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"G6PC2"
"295"	4	3	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"ISCA1"
"296"	4	9	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"TMEM51"
"297"	4	3	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"ARL5B"
"298"	4	4	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"NDUFB6"
"299"	4	8	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"PNPLA4"
"300"	4	4	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"DEFB125"
"301"	4	10	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"C8orf44"
"302"	4	0	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"LENEP"
"303"	4	10	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"ST3GAL6"
"304"	4	16	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"ZNF35"
"305"	4	15	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"TCTN1"
"306"	4	10	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"GNAT3"
"307"	4	4	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"UBE2D2"
"308"	4	4	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"RBM18"
"309"	4	15	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"TRIM48"
"310"	4	17	0	4	1.05795943321466	0.882122379623535	-1.19933408068183	"DCDC1"
