"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"99"	"GO:0099537"	"trans-synaptic signaling"	581	52	NA	"5.6e-05"
"100"	"GO:0050793"	"regulation of developmental process"	2187	150	NA	"6.5e-05"
"101"	"GO:0019098"	"reproductive behavior"	29	8	NA	"7.3e-05"
"102"	"GO:0065003"	"macromolecular complex assembly"	1664	119	NA	"7.6e-05"
"103"	"GO:0007596"	"blood coagulation"	345	35	NA	"8.4e-05"
"104"	"GO:0007189"	"adenylate cyclase-activating G-protein c..."	65	12	NA	"9.4e-05"
"105"	"GO:0048663"	"neuron fate commitment"	65	12	NA	"9.4e-05"
"106"	"GO:0002385"	"mucosal immune response"	30	8	NA	"9.5e-05"
"107"	"GO:0055074"	"calcium ion homeostasis"	391	38	NA	"0.00011"
"108"	"GO:0050817"	"coagulation"	349	35	NA	"0.00011"
"109"	"GO:0007599"	"hemostasis"	350	35	NA	"0.00011"
"110"	"GO:0006874"	"cellular calcium ion homeostasis"	379	37	NA	"0.00012"
"111"	"GO:0030219"	"megakaryocyte differentiation"	48	10	NA	"0.00013"
"112"	"GO:0098662"	"inorganic cation transmembrane transport"	645	55	NA	"0.00013"
"113"	"GO:0044708"	"single-organism behavior"	396	38	NA	"0.00014"
"114"	"GO:0043933"	"macromolecular complex subunit organizat..."	1912	132	NA	"0.00015"
"115"	"GO:0019731"	"antibacterial humoral response"	40	9	NA	"0.00015"
"116"	"GO:0002251"	"organ or tissue specific immune response"	32	8	NA	"0.00016"
"117"	"GO:0030001"	"metal ion transport"	793	64	NA	"0.00018"
"118"	"GO:0030204"	"chondroitin sulfate metabolic process"	41	9	NA	"0.00018"
"119"	"GO:0090101"	"negative regulation of transmembrane rec..."	102	15	NA	"0.00020"
"120"	"GO:0021515"	"cell differentiation in spinal cord"	51	10	NA	"0.00021"
"121"	"GO:0043044"	"ATP-dependent chromatin remodeling"	71	12	NA	"0.00023"
"122"	"GO:0072507"	"divalent inorganic cation homeostasis"	421	39	NA	"0.00023"
"123"	"GO:0050654"	"chondroitin sulfate proteoglycan metabol..."	43	9	NA	"0.00026"
"124"	"GO:0016233"	"telomere capping"	53	10	NA	"0.00030"
"125"	"GO:0007204"	"positive regulation of cytosolic calcium..."	257	27	NA	"0.00030"
"126"	"GO:0042711"	"maternal behavior"	13	5	NA	"0.00031"
"127"	"GO:0060746"	"parental behavior"	13	5	NA	"0.00031"
"128"	"GO:0045638"	"negative regulation of myeloid cell diff..."	84	13	NA	"0.00031"
"129"	"GO:0010628"	"positive regulation of gene expression"	1693	117	NA	"0.00035"
"130"	"GO:0030512"	"negative regulation of transforming grow..."	64	11	NA	"0.00035"
"131"	"GO:0015874"	"norepinephrine transport"	20	6	NA	"0.00036"
"132"	"GO:0034622"	"cellular macromolecular complex assembly"	959	73	NA	"0.00036"
"133"	"GO:0045595"	"regulation of cell differentiation"	1474	104	NA	"0.00037"
"134"	"GO:0072503"	"cellular divalent inorganic cation homeo..."	403	37	NA	"0.00040"
"135"	"GO:0051480"	"regulation of cytosolic calcium ion conc..."	290	29	NA	"0.00042"
"136"	"GO:0098660"	"inorganic ion transmembrane transport"	740	59	NA	"0.00043"
"137"	"GO:0021527"	"spinal cord association neuron different..."	14	5	NA	"0.00046"
"138"	"GO:1903845"	"negative regulation of cellular response..."	66	11	NA	"0.00046"
"139"	"GO:0007218"	"neuropeptide signaling pathway"	99	14	NA	"0.00048"
"140"	"GO:0007399"	"nervous system development"	2143	142	NA	"0.00050"
"141"	"GO:2001257"	"regulation of cation channel activity"	123	16	NA	"0.00051"
"142"	"GO:0048729"	"tissue morphogenesis"	605	50	NA	"0.00052"
"143"	"GO:0006303"	"double-strand break repair via nonhomolo..."	67	11	NA	"0.00053"
"144"	"GO:1903510"	"mucopolysaccharide metabolic process"	112	15	NA	"0.00056"
"145"	"GO:0048468"	"cell development"	1837	124	NA	"0.00059"
"146"	"GO:0033077"	"T cell differentiation in thymus"	68	11	NA	"0.00060"
"147"	"GO:0044763"	"single-organism cellular process"	10210	564	NA	"0.00061"
"148"	"GO:0090288"	"negative regulation of cellular response..."	125	16	NA	"0.00061"
"149"	"GO:0003044"	"regulation of systemic arterial blood pr..."	48	9	NA	"0.00062"
"150"	"GO:0050650"	"chondroitin sulfate proteoglycan biosynt..."	30	7	NA	"0.00063"
"151"	"GO:0051954"	"positive regulation of amine transport"	30	7	NA	"0.00063"
"152"	"GO:0070306"	"lens fiber cell differentiation"	30	7	NA	"0.00063"
"153"	"GO:0030900"	"forebrain development"	357	33	NA	"0.00072"
"154"	"GO:0002009"	"morphogenesis of an epithelium"	506	43	NA	"0.00072"
"155"	"GO:0015672"	"monovalent inorganic cation transport"	508	43	NA	"0.00078"
"156"	"GO:0051937"	"catecholamine transport"	60	10	NA	"0.00083"
"157"	"GO:0060078"	"regulation of postsynaptic membrane pote..."	129	16	NA	"0.00087"
"158"	"GO:0050768"	"negative regulation of neurogenesis"	234	24	NA	"0.00090"
"159"	"GO:0048243"	"norepinephrine secretion"	16	5	NA	"0.00093"
"160"	"GO:1903707"	"negative regulation of hemopoiesis"	130	16	NA	"0.00095"
"161"	"GO:0072089"	"stem cell proliferation"	106	14	NA	"0.00097"
"162"	"GO:0015844"	"monoamine transport"	72	11	NA	"0.00099"
"163"	"GO:0021871"	"forebrain regionalization"	24	6	NA	"0.00105"
"164"	"GO:0048523"	"negative regulation of cellular process"	4203	253	NA	"0.00106"
"165"	"GO:0001503"	"ossification"	366	33	NA	"0.00110"
"166"	"GO:0021877"	"forebrain neuron fate commitment"	10	4	NA	"0.00110"
"167"	"GO:0034380"	"high-density lipoprotein particle assemb..."	10	4	NA	"0.00110"
"168"	"GO:0035176"	"social behavior"	42	8	NA	"0.00111"
"169"	"GO:0051703"	"intraspecies interaction between organis..."	42	8	NA	"0.00111"
"170"	"GO:0007186"	"G-protein coupled receptor signaling pat..."	1182	84	NA	"0.00113"
"171"	"GO:0006875"	"cellular metal ion homeostasis"	472	40	NA	"0.00115"
"172"	"GO:0045637"	"regulation of myeloid cell differentiati..."	184	20	NA	"0.00115"
"173"	"GO:0045165"	"cell fate commitment"	239	24	NA	"0.00121"
"174"	"GO:0000726"	"non-recombinational repair"	74	11	NA	"0.00125"
"175"	"GO:0017015"	"regulation of transforming growth factor..."	97	13	NA	"0.00126"
"176"	"GO:0055065"	"metal ion homeostasis"	536	44	NA	"0.00127"
"177"	"GO:0051276"	"chromosome organization"	1120	80	NA	"0.00128"
"178"	"GO:0007405"	"neuroblast proliferation"	53	9	NA	"0.00131"
"179"	"GO:0032412"	"regulation of ion transmembrane transpor..."	186	20	NA	"0.00132"
"180"	"GO:0030206"	"chondroitin sulfate biosynthetic process"	25	6	NA	"0.00133"
"181"	"GO:0035025"	"positive regulation of Rho protein signa..."	25	6	NA	"0.00133"
"182"	"GO:0006112"	"energy reserve metabolic process"	86	12	NA	"0.00135"
"183"	"GO:0031324"	"negative regulation of cellular metaboli..."	2339	150	NA	"0.00138"
"184"	"GO:0021510"	"spinal cord development"	98	13	NA	"0.00139"
"185"	"GO:0050830"	"defense response to Gram-positive bacter..."	64	10	NA	"0.00139"
"186"	"GO:0048699"	"generation of neurons"	1311	91	NA	"0.00145"
"187"	"GO:0006936"	"muscle contraction"	329	30	NA	"0.00152"
"188"	"GO:1903844"	"regulation of cellular response to trans..."	99	13	NA	"0.00153"
"189"	"GO:0035637"	"multicellular organismal signaling"	189	20	NA	"0.00160"
"190"	"GO:0022607"	"cellular component assembly"	2599	164	NA	"0.00161"
"191"	"GO:0010939"	"regulation of necrotic cell death"	26	6	NA	"0.00165"
"192"	"GO:0034370"	"triglyceride-rich lipoprotein particle r..."	11	4	NA	"0.00166"
"193"	"GO:0034372"	"very-low-density lipoprotein particle re..."	11	4	NA	"0.00166"
"194"	"GO:0090092"	"regulation of transmembrane receptor pro..."	205	21	NA	"0.00186"
"195"	"GO:0022898"	"regulation of transmembrane transporter ..."	192	20	NA	"0.00193"
"196"	"GO:0071542"	"dopaminergic neuron differentiation"	36	7	NA	"0.00199"
"197"	"GO:0031069"	"hair follicle morphogenesis"	27	6	NA	"0.00203"
"198"	"GO:0019730"	"antimicrobial humoral response"	79	11	NA	"0.00214"
"199"	"GO:0030182"	"neuron differentiation"	1192	83	NA	"0.00215"
"200"	"GO:0019226"	"transmission of nerve impulse"	68	10	NA	"0.00223"
"201"	"GO:0045665"	"negative regulation of neuron differenti..."	181	19	NA	"0.00227"
"202"	"GO:0006355"	"regulation of transcription, DNA-templat..."	3460	210	NA	"0.00228"
"203"	"GO:0070266"	"necroptotic process"	37	7	NA	"0.00235"
"204"	"GO:0021978"	"telencephalon regionalization"	12	4	NA	"0.00239"
"205"	"GO:0009887"	"animal organ morphogenesis"	962	69	NA	"0.00247"
"206"	"GO:0055085"	"transmembrane transport"	1336	91	NA	"0.00254"
"207"	"GO:0010721"	"negative regulation of cell development"	267	25	NA	"0.00254"
"208"	"GO:0051961"	"negative regulation of nervous system de..."	253	24	NA	"0.00259"
"209"	"GO:0048519"	"negative regulation of biological proces..."	4644	273	NA	"0.00260"
"210"	"GO:0021953"	"central nervous system neuron differenti..."	170	18	NA	"0.00266"
"211"	"GO:0030049"	"muscle filament sliding"	38	7	NA	"0.00276"
"212"	"GO:0033275"	"actin-myosin filament sliding"	38	7	NA	"0.00276"
"213"	"GO:0030325"	"adrenal gland development"	20	5	NA	"0.00278"
"214"	"GO:0060544"	"regulation of necroptotic process"	20	5	NA	"0.00278"
"215"	"GO:0030166"	"proteoglycan biosynthetic process"	59	9	NA	"0.00283"
"216"	"GO:0099565"	"chemical synaptic transmission, postsyna..."	107	13	NA	"0.00308"
"217"	"GO:0051952"	"regulation of amine transport"	71	10	NA	"0.00309"
"218"	"GO:1903506"	"regulation of nucleic acid-templated tra..."	3482	210	NA	"0.00310"
"219"	"GO:0006029"	"proteoglycan metabolic process"	83	11	NA	"0.00319"
"220"	"GO:0044085"	"cellular component biogenesis"	2842	175	NA	"0.00320"
"221"	"GO:0044057"	"regulation of system process"	484	39	NA	"0.00322"
"222"	"GO:1905114"	"cell surface receptor signaling pathway ..."	563	44	NA	"0.00323"
"223"	"GO:0006044"	"N-acetylglucosamine metabolic process"	13	4	NA	"0.00331"
"224"	"GO:0070208"	"protein heterotrimerization"	13	4	NA	"0.00331"
"225"	"GO:0042310"	"vasoconstriction"	72	10	NA	"0.00342"
"226"	"GO:0007617"	"mating behavior"	21	5	NA	"0.00350"
"227"	"GO:0021516"	"dorsal spinal cord development"	21	5	NA	"0.00350"
"228"	"GO:1902667"	"regulation of axon guidance"	21	5	NA	"0.00350"
"229"	"GO:0003073"	"regulation of systemic arterial blood pr..."	84	11	NA	"0.00350"
"230"	"GO:0065008"	"regulation of biological quality"	3400	205	NA	"0.00357"
"231"	"GO:0045907"	"positive regulation of vasoconstriction"	30	6	NA	"0.00358"
"232"	"GO:0048730"	"epidermis morphogenesis"	30	6	NA	"0.00358"
"233"	"GO:0098773"	"skin epidermis development"	97	12	NA	"0.00377"
"234"	"GO:0022008"	"neurogenesis"	1407	94	NA	"0.00379"
"235"	"GO:0006873"	"cellular ion homeostasis"	569	44	NA	"0.00392"
"236"	"GO:0070268"	"cornification"	110	13	NA	"0.00393"
"237"	"GO:0030534"	"adult behavior"	136	15	NA	"0.00397"
"238"	"GO:0008015"	"blood circulation"	490	39	NA	"0.00397"
"239"	"GO:0035296"	"regulation of tube diameter"	123	14	NA	"0.00398"
"240"	"GO:0097746"	"regulation of blood vessel diameter"	123	14	NA	"0.00398"
"241"	"GO:2001141"	"regulation of RNA biosynthetic process"	3501	210	NA	"0.00401"
"242"	"GO:2000112"	"regulation of cellular macromolecule bio..."	3836	228	NA	"0.00405"
"243"	"GO:0001763"	"morphogenesis of a branching structure"	191	19	NA	"0.00414"
"244"	"GO:0007193"	"adenylate cyclase-inhibiting G-protein c..."	74	10	NA	"0.00419"
"245"	"GO:0006022"	"aminoglycan metabolic process"	164	17	NA	"0.00429"
"246"	"GO:1903793"	"positive regulation of anion transport"	41	7	NA	"0.00430"
"247"	"GO:0061138"	"morphogenesis of a branching epithelium"	178	18	NA	"0.00436"
"248"	"GO:0032409"	"regulation of transporter activity"	206	20	NA	"0.00437"
"249"	"GO:0034433"	"steroid esterification"	14	4	NA	"0.00445"
"250"	"GO:0034434"	"sterol esterification"	14	4	NA	"0.00445"
"251"	"GO:0034435"	"cholesterol esterification"	14	4	NA	"0.00445"
"252"	"GO:0005976"	"polysaccharide metabolic process"	99	12	NA	"0.00446"
"253"	"GO:0003013"	"circulatory system process"	494	39	NA	"0.00455"
"254"	"GO:0007178"	"transmembrane receptor protein serine/th..."	309	27	NA	"0.00457"
"255"	"GO:0001942"	"hair follicle development"	87	11	NA	"0.00460"
"256"	"GO:0048732"	"gland development"	416	34	NA	"0.00461"
"257"	"GO:0014902"	"myotube differentiation"	100	12	NA	"0.00484"
"258"	"GO:0097300"	"programmed necrotic cell death"	42	7	NA	"0.00494"
"259"	"GO:0002088"	"lens development in camera-type eye"	64	9	NA	"0.00494"
"260"	"GO:0048568"	"embryonic organ development"	418	34	NA	"0.00496"
"261"	"GO:0019433"	"triglyceride catabolic process"	32	6	NA	"0.00501"
"262"	"GO:0040013"	"negative regulation of locomotion"	252	23	NA	"0.00505"
"263"	"GO:1903522"	"regulation of blood circulation"	267	24	NA	"0.00513"
"264"	"GO:0016567"	"protein ubiquitination"	791	57	NA	"0.00519"
"265"	"GO:0032879"	"regulation of localization"	2420	150	NA	"0.00519"
"266"	"GO:2000191"	"regulation of fatty acid transport"	23	5	NA	"0.00532"
"267"	"GO:0032446"	"protein modification by small protein co..."	876	62	NA	"0.00539"
"268"	"GO:0048562"	"embryonic organ morphogenesis"	283	25	NA	"0.00541"
"269"	"GO:0051146"	"striated muscle cell differentiation"	239	22	NA	"0.00545"
"270"	"GO:0022404"	"molting cycle process"	89	11	NA	"0.00548"
"271"	"GO:0022405"	"hair cycle process"	89	11	NA	"0.00548"
"272"	"GO:0044070"	"regulation of anion transport"	102	12	NA	"0.00568"
"273"	"GO:0014061"	"regulation of norepinephrine secretion"	15	4	NA	"0.00583"
"274"	"GO:0045070"	"positive regulation of viral genome repl..."	33	6	NA	"0.00586"
"275"	"GO:0009892"	"negative regulation of metabolic process"	2647	162	NA	"0.00593"
"276"	"GO:0031644"	"regulation of neurological system proces..."	66	9	NA	"0.00607"
"277"	"GO:0097756"	"negative regulation of blood vessel diam..."	78	10	NA	"0.00611"
"278"	"GO:0030815"	"negative regulation of cAMP metabolic pr..."	44	7	NA	"0.00643"
"279"	"GO:2000179"	"positive regulation of neural precursor ..."	44	7	NA	"0.00643"
"280"	"GO:0071559"	"response to transforming growth factor b..."	214	20	NA	"0.00664"
"281"	"GO:0015837"	"amine transport"	79	10	NA	"0.00669"
"282"	"GO:0098771"	"inorganic ion homeostasis"	636	47	NA	"0.00680"
"283"	"GO:0030003"	"cellular cation homeostasis"	555	42	NA	"0.00688"
"284"	"GO:0042592"	"homeostatic process"	1579	102	NA	"0.00696"
"285"	"GO:0050880"	"regulation of blood vessel size"	131	14	NA	"0.00696"
"286"	"GO:0019229"	"regulation of vasoconstriction"	56	8	NA	"0.00715"
"287"	"GO:0030203"	"glycosaminoglycan metabolic process"	159	16	NA	"0.00727"
"288"	"GO:0055080"	"cation homeostasis"	622	46	NA	"0.00727"
"289"	"GO:0070588"	"calcium ion transmembrane transport"	260	23	NA	"0.00731"
"290"	"GO:0009889"	"regulation of biosynthetic process"	4184	244	NA	"0.00738"
"291"	"GO:0035150"	"regulation of tube size"	132	14	NA	"0.00743"
"292"	"GO:0051969"	"regulation of transmission of nerve impu..."	16	4	NA	"0.00747"
"293"	"GO:0048754"	"branching morphogenesis of an epithelial..."	146	15	NA	"0.00763"
"294"	"GO:0007219"	"Notch signaling pathway"	160	16	NA	"0.00771"
"295"	"GO:0034367"	"macromolecular complex remodeling"	25	5	NA	"0.00772"
"296"	"GO:0034368"	"protein-lipid complex remodeling"	25	5	NA	"0.00772"
"297"	"GO:0034369"	"plasma lipoprotein particle remodeling"	25	5	NA	"0.00772"
"298"	"GO:0071514"	"genetic imprinting"	25	5	NA	"0.00772"
"299"	"GO:0000723"	"telomere maintenance"	147	15	NA	"0.00811"
"300"	"GO:0031326"	"regulation of cellular biosynthetic proc..."	4136	241	NA	"0.00813"
"301"	"GO:1903706"	"regulation of hemopoiesis"	323	27	NA	"0.00814"
"302"	"GO:0005978"	"glycogen biosynthetic process"	46	7	NA	"0.00822"
"303"	"GO:0009250"	"glucan biosynthetic process"	46	7	NA	"0.00822"
"304"	"GO:0030800"	"negative regulation of cyclic nucleotide..."	46	7	NA	"0.00822"
"305"	"GO:0045944"	"positive regulation of transcription fro..."	1031	70	NA	"0.00836"
"306"	"GO:0051705"	"multi-organism behavior"	58	8	NA	"0.00883"
"307"	"GO:0003012"	"muscle system process"	403	32	NA	"0.00884"
"308"	"GO:0051252"	"regulation of RNA metabolic process"	3619	213	NA	"0.00887"
"309"	"GO:0032368"	"regulation of lipid transport"	95	11	NA	"0.00890"
"310"	"GO:0060079"	"excitatory postsynaptic potential"	95	11	NA	"0.00890"
"311"	"GO:0048518"	"positive regulation of biological proces..."	5110	292	NA	"0.00898"
"312"	"GO:0050801"	"ion homeostasis"	696	50	NA	"0.00902"
"313"	"GO:0032881"	"regulation of polysaccharide metabolic p..."	36	6	NA	"0.00906"
"314"	"GO:0045742"	"positive regulation of epidermal growth ..."	36	6	NA	"0.00906"
"315"	"GO:0050432"	"catecholamine secretion"	47	7	NA	"0.00925"
"316"	"GO:0032026"	"response to magnesium ion"	17	4	NA	"0.00937"
"317"	"GO:0042053"	"regulation of dopamine metabolic process"	17	4	NA	"0.00937"
"318"	"GO:0042069"	"regulation of catecholamine metabolic pr..."	17	4	NA	"0.00937"
"319"	"GO:0043691"	"reverse cholesterol transport"	17	4	NA	"0.00937"
"320"	"GO:1901071"	"glucosamine-containing compound metaboli..."	17	4	NA	"0.00937"
"321"	"GO:0007631"	"feeding behavior"	109	12	NA	"0.00955"
"322"	"GO:0007420"	"brain development"	665	48	NA	"0.00956"
"323"	"GO:0043279"	"response to alkaloid"	136	14	NA	"0.00958"
"324"	"GO:0006338"	"chromatin remodeling"	150	15	NA	"0.00969"
"325"	"GO:0007519"	"skeletal muscle tissue development"	150	15	NA	"0.00969"
"326"	"GO:0010556"	"regulation of macromolecule biosynthetic..."	3946	230	NA	"0.00985"
"327"	"GO:0006357"	"regulation of transcription from RNA pol..."	1832	115	NA	"0.01003"
"328"	"GO:0010812"	"negative regulation of cell-substrate ad..."	48	7	NA	"0.01036"
"329"	"GO:0032890"	"regulation of organic acid transport"	48	7	NA	"0.01036"
"330"	"GO:0070265"	"necrotic cell death"	48	7	NA	"0.01036"
"331"	"GO:0007417"	"central nervous system development"	887	61	NA	"0.01037"
"332"	"GO:0005977"	"glycogen metabolic process"	72	9	NA	"0.01066"
"333"	"GO:0006073"	"cellular glucan metabolic process"	72	9	NA	"0.01066"
"334"	"GO:0044042"	"glucan metabolic process"	72	9	NA	"0.01066"
"335"	"GO:0001975"	"response to amphetamine"	27	5	NA	"0.01078"
"336"	"GO:0003018"	"vascular process in circulatory system"	152	15	NA	"0.01088"
"337"	"GO:0030099"	"myeloid cell differentiation"	331	27	NA	"0.01105"
"338"	"GO:0055082"	"cellular chemical homeostasis"	688	49	NA	"0.01125"
