"notstall"	"stall"	"n"	"mu"	"sigma"	"z"	"gene_name"
"36"	126	15	141	37.2930700208167	5.23731144914089	-4.25658665468015	"AHNAK2"
"37"	89	7	96	25.3910263971518	4.32149944153467	-4.25570491121495	"KIAA2012"
"38"	1300	364	1664	440.111124217298	17.9918369083092	-4.23031425891522	"TTN"
"39"	61	2	63	16.6628610731309	3.50081466361258	-4.18841397847663	"UACA"
"40"	72	4	76	20.1012292310785	3.84508230861461	-4.1874862327407	"TEX15"
"41"	123	15	138	36.4996004459057	5.18129581242258	-4.14946399978914	"IGSF10"
"42"	71	4	75	19.8367393727748	3.81970195000381	-4.14606678218939	"ANKRD31"
"43"	60	2	62	16.3983712148272	3.47291928149887	-4.14589860798982	"NSRP1"
"44"	76	5	81	21.4236785225968	3.96955070830591	-4.13741496946539	"ROCK1"
"45"	95	9	104	27.5069452635811	4.49795922707731	-4.11452045900527	"PPIG"
"46"	59	2	61	16.1338813565235	3.44479801478236	-4.10296374297478	"ERBB2IP"
"47"	126	16	142	37.5575598791204	5.25585066268634	-4.10163097520392	"C5orf42"
"48"	53	1	54	14.2824523483979	3.24112458115101	-4.09809990817476	"ZNF343"
"49"	53	1	54	14.2824523483979	3.24112458115101	-4.09809990817476	"RGAG1"
"50"	130	17	147	38.8800091706387	5.34758273000533	-4.09157001870579	"PKHD1L1"
"51"	94	9	103	27.2424554052774	4.47628218897018	-4.07535866488219	"PCF11"
"52"	89	8	97	25.6555162554555	4.3439489403471	-4.0643931358099	"PRR14L"
"53"	154	23	177	46.8147049197486	5.86793747827944	-4.05844557954142	"YLPM1"
"54"	161	25	186	49.1951136444816	6.01527264614165	-4.02228046304783	"PKHD1"
"55"	83	7	90	23.8040872473298	4.18427384192711	-4.01601039562709	"PRDM9"
"56"	82	7	89	23.5395973890261	4.16096294276665	-3.97494465019889	"ERICH3"
"57"	96	10	106	28.0359249801884	4.54100287984562	-3.97179333671808	"SIPA1L2"
"58"	118	15	133	35.1771511543874	5.08656577958418	-3.96675321399988	"SRRM5"
"59"	122	16	138	36.4996004459057	5.18129581242258	-3.95646208748712	"GOLGB1"
"60"	126	17	143	37.822049737424	5.27432471143165	-3.94781339349358	"KIAA1671"
"61"	55	2	57	15.0759219233089	3.32993895890237	-3.92677526065493	"ZNF804B"
"62"	55	2	57	15.0759219233089	3.32993895890237	-3.92677526065493	"ZNF418"
"63"	150	23	173	45.756745486534	5.80125420545969	-3.92272854809863	"PRRC2C"
"64"	200	36	236	62.4196065596648	6.77571056534505	-3.89916397769263	"LRP1B"
"65"	65	4	69	18.2498002229528	3.66372940429747	-3.88942485933546	"SPATA31A6"
"66"	149	23	172	45.4922556282303	5.78446327529232	-3.88839111906949	"NCOR1"
"67"	149	23	172	45.4922556282303	5.78446327529232	-3.88839111906949	"WDR87"
"68"	70	5	75	19.8367393727748	3.81970195000381	-3.88426625086809	"C2orf71"
"69"	70	5	75	19.8367393727748	3.81970195000381	-3.88426625086809	"SPATA31A1"
"70"	70	5	75	19.8367393727748	3.81970195000381	-3.88426625086809	"SPATA31A5"
"71"	54	2	56	14.8114320650052	3.30059971775701	-3.88154673712191	"GPRASP2"
"72"	210	39	249	65.8579747176124	6.95982818152753	-3.85899967888542	"HMCN1"
"73"	59	3	62	16.3983712148272	3.47291928149887	-3.85795641326988	"NUGGC"
"74"	115	15	130	34.3836815794764	5.02887129588364	-3.8544795519708	"BOD1L1"
"75"	119	16	135	35.7061308709947	5.12466792839821	-3.84534786376961	"DMXL2"
"76"	64	4	68	17.9853103646492	3.63708374590903	-3.84519888506273	"MARCH7"
"77"	69	5	74	19.5722495144712	3.79415181742965	-3.84071334402827	"SPATA31A3"
"78"	69	5	74	19.5722495144712	3.79415181742965	-3.84071334402827	"SPATA31A7"
"79"	92	10	102	26.9779655469738	4.4544996646238	-3.81141919973803	"ABCA12"
"80"	92	10	102	26.9779655469738	4.4544996646238	-3.81141919973803	"ANKRD36"
"81"	46	1	47	12.4310233402722	3.0237631749914	-3.78039637323936	"SCEL"
"82"	82	8	90	23.8040872473298	4.18427384192711	-3.77702030134124	"NBPF12"
"83"	91	10	101	26.7134756886701	4.43261009891186	-3.77057203672686	"KIF13A"
"84"	173	30	203	53.6914412356439	6.28415464092895	-3.77002836329656	"PCLO"
"85"	57	3	60	15.8693914982199	3.41644528559881	-3.76689524414972	"GOLGA6L6"
"86"	149	24	173	45.756745486534	5.80125420545969	-3.75035203009346	"PHRF1"
"87"	108	14	122	32.2677627130471	4.87168007214113	-3.74978702265609	"CENPF"
"88"	141	22	163	43.1118469034973	5.63109231186828	-3.74915659951112	"APC"
"89"	45	1	46	12.1665334819686	2.99142253205326	-3.73285062953112	"CTAGE9"
"90"	76	7	83	21.9526582392041	4.01825867411846	-3.72117861289368	"CWC22"
"91"	124	18	142	37.5575598791204	5.25585066268634	-3.72110265955011	"VPS13C"
"92"	140	22	162	42.8473570451936	5.61379244821394	-3.7135959758944	"NIPBL"
"93"	140	22	162	42.8473570451936	5.61379244821394	-3.7135959758944	"SVIL"
"94"	61	4	65	17.1918407897382	3.5559489950337	-3.70979471532414	"USP25"
"95"	66	5	71	18.7787799395602	3.71644764448932	-3.7075135337884	"SYNPO2"
"96"	50	2	52	13.7534726317906	3.18053747096697	-3.69543598812473	"TTF1"
"97"	50	2	52	13.7534726317906	3.18053747096697	-3.69543598812473	"CCDC15"
"98"	98	12	110	29.0938844134031	4.62588878459036	-3.69526489057536	"FHOD3"
"99"	44	1	45	11.9020436236649	2.95872840796815	-3.68470576559329	"DSG4"
"100"	55	3	58	15.3404117816125	3.3590219474088	-3.67381100058966	"MARCH10"
"101"	55	3	58	15.3404117816125	3.3590219474088	-3.67381100058966	"ZNF658"
"102"	70	6	76	20.1012292310785	3.84508230861461	-3.66734132049287	"ASXL3"
"103"	70	6	76	20.1012292310785	3.84508230861461	-3.66734132049287	"RSRC2"
"104"	37	0	37	9.78612475723559	2.68287047895577	-3.64763220364054	"ZNF605"
"105"	105	14	119	31.4742931381361	4.81140954459527	-3.63184488374414	"PTPN13"
"106"	54	3	57	15.0759219233089	3.32993895890237	-3.62646945555104	"HFM1"
"107"	64	5	69	18.2498002229528	3.66372940429747	-3.616478937394	"KCNT2"
"108"	96	12	108	28.5649046967958	4.58364234000457	-3.61391737575651	"TCF20"
"109"	78	8	86	22.7461278141151	4.09023320748375	-3.60520465853504	"ROS1"
"110"	48	2	50	13.2244929151832	3.11877358234108	-3.59900859066456	"TLK2"
"111"	36	0	36	9.52163489893192	2.6463671388706	-3.59800224204548	"ZNF329"
"112"	104	14	118	31.2098032798324	4.79115088811282	-3.59199776457283	"HIVEP2"
"113"	73	7	80	21.1591886642932	3.9449712106242	-3.58917414306118	"PTPRQ"
"114"	42	1	43	11.3730639070576	2.89223163764616	-3.58652597946812	"WDR72"
"115"	108	15	123	32.5322525713507	4.89160522716778	-3.58415116452515	"PRPF4B"
"116"	82	9	91	24.0685771056335	4.20745559185045	-3.58139896587863	"ANKRD12"
"117"	112	16	128	33.854701862869	4.99003773174572	-3.57806951023249	"ATRX"
"118"	63	5	68	17.9853103646492	3.63708374590903	-3.57025333256485	"ZNF337"
"119"	63	5	68	17.9853103646492	3.63708374590903	-3.57025333256485	"ZGRF1"
"120"	63	5	68	17.9853103646492	3.63708374590903	-3.57025333256485	"NBPF9"
"121"	159	28	187	49.4596035027852	6.03142105814029	-3.55796806356644	"C2orf16"
"122"	103	14	117	30.9453134215287	4.77080620645045	-3.55187628426775	"RBM6"
"123"	35	0	35	9.25714504062826	2.60935318815526	-3.54767805395206	"DDIAS"
"124"	72	7	79	20.8946988059895	3.92023760497952	-3.54435118635164	"PLEKHA5"
"125"	147	25	172	45.4922556282303	5.78446327529232	-3.54263734645194	"LYST"
"126"	41	1	42	11.1085740487539	2.85840320330132	-3.53644091815983	"ICK"
"127"	67	6	73	19.3077596561675	3.76842845766595	-3.53138179632842	"KIAA1210"
"128"	94	12	106	28.0359249801884	4.54100287984562	-3.53136199304362	"STAB2"
"129"	62	5	67	17.7208205063455	3.61024143259111	-3.52353734337807	"MAP3K5"
"130"	76	8	84	22.2171480975078	4.04239257683942	-3.51701321117694	"EIF4G3"
"131"	46	2	48	12.6955131985759	3.05576156000305	-3.50011379767642	"MPHOSPH8"
"132"	71	7	78	20.6302089476858	3.89534695583557	-3.49910010641455	"FAM186A"
"133"	34	0	34	8.99265518232459	2.57180658047565	-3.49662966515212	"ZSCAN30"
"134"	134	22	156	41.2604178953717	5.50885249509141	-3.49626676563466	"XIRP2"
"135"	40	1	41	10.8440841904502	2.8241695946747	-3.4856561762482	"ZNF880"
"136"	61	5	66	17.4563306480419	3.58319804482523	-3.47631654522445	"ABCA9"
"137"	56	4	60	15.8693914982199	3.41644528559881	-3.47419335185972	"NEDD4"
"138"	101	14	115	30.4163337049214	4.72985432261817	-3.47079055403852	"PLCE1"
"139"	101	14	115	30.4163337049214	4.72985432261817	-3.47079055403852	"CHD1"
"140"	105	15	120	31.7387829964397	4.83158325799946	-3.46445090617574	"HIVEP1"
"141"	70	7	77	20.3657190893822	3.87029623325906	-3.45340983838007	"RB1CC1"
"142"	45	2	47	12.4310233402722	3.0237631749914	-3.44968264265666	"PRKG2"
"143"	45	2	47	12.4310233402722	3.0237631749914	-3.44968264265666	"TTC24"
"144"	45	2	47	12.4310233402722	3.0237631749914	-3.44968264265666	"ZMAT1"
"145"	45	2	47	12.4310233402722	3.0237631749914	-3.44968264265666	"ZNF709"
"146"	33	0	33	8.72816532402093	2.5337036358303	-3.44482488030242	"ZNF674"
"147"	65	6	71	18.7787799395602	3.71644764448932	-3.4384393813561	"CXorf23"
"148"	39	1	40	10.5795943321466	2.78951589461807	-3.43414222898994	"CIR1"
"149"	39	1	40	10.5795943321466	2.78951589461807	-3.43414222898994	"TCHHL1"
"150"	39	1	40	10.5795943321466	2.78951589461807	-3.43414222898994	"USP33"
"151"	50	3	53	14.0179624900942	3.21097392972648	-3.43134598138352	"HKR1"
"152"	60	5	65	17.1918407897382	3.5559489950337	-3.42857583355822	"BLM"
"153"	60	5	65	17.1918407897382	3.5559489950337	-3.42857583355822	"ARID4A"
"154"	55	4	59	15.6049016399162	3.38785528267253	-3.42544196007145	"ARID4B"
"155"	124	20	144	38.0865395957277	5.29273427774121	-3.41723930328248	"BPTF"
"156"	116	18	134	35.441641012691	5.10565239741162	-3.41614345338772	"CEP290"
"157"	44	2	46	12.1665334819686	2.99142253205326	-3.39856151146607	"KANSL1L"
"158"	44	2	46	12.1665334819686	2.99142253205326	-3.39856151146607	"ZNF256"
"159"	195	39	234	61.8906268430575	6.74693884061596	-3.39274260280203	"KIAA1109"
"160"	82	10	92	24.3330669639371	4.23051031561818	-3.38802316851052	"SPATA31E1"
"161"	82	10	92	24.3330669639371	4.23051031561818	-3.38802316851052	"ZCCHC6"
"162"	38	1	39	10.3151044738429	2.7544262475457	-3.38186745139501	"AIFM1"
"163"	38	1	39	10.3151044738429	2.7544262475457	-3.38186745139501	"LCA5L"
"164"	38	1	39	10.3151044738429	2.7544262475457	-3.38186745139501	"ZC2HC1C"
"165"	73	8	81	21.4236785225968	3.96955070830591	-3.3816619333037	"FILIP1"
"166"	73	8	81	21.4236785225968	3.96955070830591	-3.3816619333037	"APOBR"
"167"	191	38	229	60.5681775515392	6.67446693401214	-3.38127041075519	"KMT2A"
"168"	49	3	52	13.7534726317906	3.18053747096697	-3.3810237200322	"ATP13A4"
"169"	49	3	52	13.7534726317906	3.18053747096697	-3.3810237200322	"GOLGA6L1"
"170"	59	5	64	16.9273509314345	3.52848951849414	-3.38029937992413	"MBD5"
"171"	150	27	177	46.8147049197486	5.86793747827944	-3.376775058203	"TRANK1"
"172"	86	11	97	25.6555162554555	4.3439489403471	-3.37377728346052	"PRUNE2"
"173"	161	30	191	50.5175629359999	6.09558691786204	-3.36597003905839	"SACS"
"174"	94	13	107	28.3004148384921	4.56237242319436	-3.35360935479692	"NRK"
"175"	43	2	45	11.9020436236649	2.95872840796815	-3.34672273298141	"IKBKB"
"176"	31	0	31	8.1991856074136	2.45572477446137	-3.33880477677389	"ZNF569"
"177"	31	0	31	8.1991856074136	2.45572477446137	-3.33880477677389	"CASP8"
"178"	31	0	31	8.1991856074136	2.45572477446137	-3.33880477677389	"ZNF559"
"179"	118	19	137	36.235110587602	5.16248886901169	-3.3385274089514	"ITPR2"
"180"	110	17	127	33.5902120045654	4.97050717644466	-3.33773021859555	"CNTRL"
"181"	72	8	80	21.1591886642932	3.9449712106242	-3.33568686860227	"ADGRB3"
"182"	58	5	63	16.6628610731309	3.50081466361258	-3.33147058436269	"RNF17"
"183"	58	5	63	16.6628610731309	3.50081466361258	-3.33147058436269	"ADAM19"
"184"	58	5	63	16.6628610731309	3.50081466361258	-3.33147058436269	"TRAF3IP1"
"185"	58	5	63	16.6628610731309	3.50081466361258	-3.33147058436269	"FAM135B"
"186"	48	3	51	13.4889827734869	3.14980691964869	-3.33003991706792	"ZNF700"
"187"	37	1	38	10.0506146155392	2.71888377464182	-3.32879790594637	"ZNF630"
"188"	53	4	57	15.0759219233089	3.32993895890237	-3.32616365044715	"USP6NL"
"189"	76	9	85	22.4816379558115	4.06638324785609	-3.31538793420895	"RTTN"
"190"	76	9	85	22.4816379558115	4.06638324785609	-3.31538793420895	"PKP4"
"191"	67	7	74	19.5722495144712	3.79415181742965	-3.31358630846465	"COL14A1"
"192"	67	7	74	19.5722495144712	3.79415181742965	-3.31358630846465	"LRRIQ1"
"193"	93	13	106	28.0359249801884	4.54100287984562	-3.31114632120639	"PHF3"
"194"	117	19	136	35.9706207292984	5.1436131609513	-3.29935790236599	"MGA"
"195"	80	10	90	23.8040872473298	4.18427384192711	-3.29904011276953	"PHLDB2"
"196"	105	16	121	32.0032728547434	4.85167308792944	-3.29850601322628	"CSPP1"
"197"	113	18	131	34.64817143778	5.04817605514314	-3.29785872281905	"CFAP54"
"198"	62	6	68	17.9853103646492	3.63708374590903	-3.29530778006698	"RBM20"
"199"	140	25	165	43.6408266201046	5.66553356455492	-3.29021554769821	"REV3L"
"200"	30	0	30	7.93469574910993	2.41579162899973	-3.28451164987079	"ZFP3"
"201"	30	0	30	7.93469574910993	2.41579162899973	-3.28451164987079	"ZNF493"
"202"	47	3	50	13.2244929151832	3.11877358234108	-3.27836973260121	"TDRD3"
"203"	47	3	50	13.2244929151832	3.11877358234108	-3.27836973260121	"ZNF17"
"204"	36	1	37	9.78612475723559	2.68287047895577	-3.27489710224674	"ZNF77"
"205"	36	1	37	9.78612475723559	2.68287047895577	-3.27489710224674	"RAD17"
"206"	75	9	84	22.2171480975078	4.04239257683942	-3.26963496154096	"LUZP1"
"207"	92	13	105	27.7714351218848	4.51953229677674	-3.26835481016908	"FAM208B"
"208"	66	7	73	19.3077596561675	3.76842845766595	-3.26601918928045	"ADGRG4"
"209"	120	20	140	37.028580162513	5.21870637631052	-3.26298874368781	"SETD2"
"210"	70	8	78	20.6302089476858	3.89534695583557	-3.24238356451527	"CFTR"
"211"	70	8	78	20.6302089476858	3.89534695583557	-3.24238356451527	"SOS1"
"212"	41	2	43	11.3730639070576	2.89223163764616	-3.24077220685056	"NRIP1"
"213"	41	2	43	11.3730639070576	2.89223163764616	-3.24077220685056	"ZNF84"
"214"	41	2	43	11.3730639070576	2.89223163764616	-3.24077220685056	"ZNF433"
"215"	41	2	43	11.3730639070576	2.89223163764616	-3.24077220685056	"ZNF441"
"216"	87	12	99	26.1844959720628	4.38850342858007	-3.23219434663909	"DOCK9"
"217"	56	5	61	16.1338813565235	3.44479801478236	-3.23208539622517	"CWF19L2"
"218"	29	0	29	7.67020589080627	2.3751871971672	-3.22930584164239	"NAB1"
"219"	29	0	29	7.67020589080627	2.3751871971672	-3.22930584164239	"ELP2"
"220"	46	3	49	12.9600030568796	3.08742832868237	-3.22598680732136	"DLGAP5"
"221"	51	4	55	14.5469422067015	3.27099732859864	-3.22438117405007	"CEP126"
"222"	51	4	55	14.5469422067015	3.27099732859864	-3.22438117405007	"SMG8"
"223"	51	4	55	14.5469422067015	3.27099732859864	-3.22438117405007	"SORBS2"
"224"	74	9	83	21.9526582392041	4.01825867411846	-3.22345057639818	"WWC2"
"225"	65	7	72	19.0432697978638	3.74252829880929	-3.21795022944662	"ATP10D"
"226"	65	7	72	19.0432697978638	3.74252829880929	-3.21795022944662	"EFCAB5"
"227"	138	25	163	43.1118469034973	5.63109231186828	-3.21640028264573	"MAST4"
"228"	60	6	66	17.4563306480419	3.58319804482523	-3.19723624112455	"SP100"
"229"	60	6	66	17.4563306480419	3.58319804482523	-3.19723624112455	"COL24A1"
"230"	60	6	66	17.4563306480419	3.58319804482523	-3.19723624112455	"ABCA8"
"231"	82	11	93	24.5975568222408	4.25344007877271	-3.19683751749578	"RNF6"
"232"	40	2	42	11.1085740487539	2.85840320330132	-3.18659524248852	"ZFYVE9"
"233"	40	2	42	11.1085740487539	2.85840320330132	-3.18659524248852	"USP38"
"234"	55	5	60	15.8693914982199	3.41644528559881	-3.18149145956973	"ZNF518A"
"235"	110	18	128	33.854701862869	4.99003773174572	-3.17727093765329	"CHD2"
"236"	98	15	113	29.8873539883141	4.68854476003732	-3.17526114183787	"CMYA5"
"237"	102	16	118	31.2098032798324	4.79115088811282	-3.1745615270788	"NBEAL1"
"238"	45	3	48	12.6955131985759	3.05576156000305	-3.1728631335248	"ZNF217"
"239"	45	3	48	12.6955131985759	3.05576156000305	-3.1728631335248	"ZNF14"
"240"	45	3	48	12.6955131985759	3.05576156000305	-3.1728631335248	"CTAGE8"
"241"	50	4	54	14.2824523483979	3.24112458115101	-3.1724952530971	"EFHB"
"242"	50	4	54	14.2824523483979	3.24112458115101	-3.1724952530971	"MIS18BP1"
"243"	50	4	54	14.2824523483979	3.24112458115101	-3.1724952530971	"LCA5"
"244"	64	7	71	18.7787799395602	3.71644764448932	-3.16936522892379	"KNTC1"
"245"	64	7	71	18.7787799395602	3.71644764448932	-3.16936522892379	"POP1"
"246"	34	1	35	9.25714504062826	2.60935318815526	-3.16444131753043	"ZNF750"
"247"	34	1	35	9.25714504062826	2.60935318815526	-3.16444131753043	"ZNF596"
"248"	34	1	35	9.25714504062826	2.60935318815526	-3.16444131753043	"ZNF233"
"249"	129	23	152	40.202458462157	5.43776754928363	-3.16351486271664	"ITPR1"
"250"	77	10	87	23.0106176724188	4.11394490298071	-3.16256488097157	"SCAF8"
"251"	125	22	147	38.8800091706387	5.34758273000533	-3.15656812112972	"VPS13B"
"252"	59	6	65	17.1918407897382	3.5559489950337	-3.14735695179231	"TRIM6-TRIM34"
"253"	59	6	65	17.1918407897382	3.5559489950337	-3.14735695179231	"CCDC144A"
"254"	59	6	65	17.1918407897382	3.5559489950337	-3.14735695179231	"DPCR1"
"255"	59	6	65	17.1918407897382	3.5559489950337	-3.14735695179231	"DHX36"
"256"	68	8	76	20.1012292310785	3.84508230861461	-3.14719640824505	"PIK3C2A"
"257"	68	8	76	20.1012292310785	3.84508230861461	-3.14719640824505	"MROH2B"
"258"	109	18	127	33.5902120045654	4.97050717644466	-3.13654350575083	"TRIP12"
"259"	97	15	112	29.6228641300104	4.66775288481677	-3.13274170480952	"URB1"
"260"	101	16	117	30.9453134215287	4.77080620645045	-3.13265992681105	"RANBP2"
"261"	39	2	41	10.8440841904502	2.8241695946747	-3.13156979209988	"ZNF268"
"262"	39	2	41	10.8440841904502	2.8241695946747	-3.13156979209988	"ZNF132"
"263"	39	2	41	10.8440841904502	2.8241695946747	-3.13156979209988	"WDR76"
"264"	39	2	41	10.8440841904502	2.8241695946747	-3.13156979209988	"PLK2"
"265"	39	2	41	10.8440841904502	2.8241695946747	-3.13156979209988	"NLRP14"
"266"	39	2	41	10.8440841904502	2.8241695946747	-3.13156979209988	"DNTTIP2"
"267"	54	5	59	15.6049016399162	3.38785528267253	-3.13026996582642	"KIAA1033"
"268"	54	5	59	15.6049016399162	3.38785528267253	-3.13026996582642	"PPP1R9A"
"269"	54	5	59	15.6049016399162	3.38785528267253	-3.13026996582642	"TMEM132D"
"270"	72	9	81	21.4236785225968	3.96955070830591	-3.12974425458313	"DDX60L"
"271"	72	9	81	21.4236785225968	3.96955070830591	-3.12974425458313	"KIAA1549L"
"272"	49	4	53	14.0179624900942	3.21097392972648	-3.11991399162421	"MMRN1"
"273"	44	3	47	12.4310233402722	3.0237631749914	-3.11896891207396	"ZNF483"
"274"	44	3	47	12.4310233402722	3.0237631749914	-3.11896891207396	"TAGAP"
"275"	44	3	47	12.4310233402722	3.0237631749914	-3.11896891207396	"MYLK3"
"276"	44	3	47	12.4310233402722	3.0237631749914	-3.11896891207396	"CTAGE4"
"277"	44	3	47	12.4310233402722	3.0237631749914	-3.11896891207396	"ZNF729"
"278"	27	0	27	7.14122617419894	2.29182117000228	-3.11596134448475	"CAGE1"
"279"	27	0	27	7.14122617419894	2.29182117000228	-3.11596134448475	"ZNF23"
"280"	27	0	27	7.14122617419894	2.29182117000228	-3.11596134448475	"DDO"
"281"	27	0	27	7.14122617419894	2.29182117000228	-3.11596134448475	"SPATA6L"
"282"	33	1	34	8.99265518232459	2.57180658047565	-3.10779793589546	"ZFYVE16"
"283"	33	1	34	8.99265518232459	2.57180658047565	-3.10779793589546	"LRRFIP2"
"284"	33	1	34	8.99265518232459	2.57180658047565	-3.10779793589546	"ZNF154"
"285"	67	8	75	19.8367393727748	3.81970195000381	-3.09886465690419	"TEX14"
"286"	58	6	64	16.9273509314345	3.52848951849414	-3.09689199136349	"STAG2"
"287"	131	24	155	40.995928037068	5.49116752972596	-3.0951392295103	"PKD1L1"
"288"	100	16	116	30.6808235632251	4.7503743943344	-3.09045610820367	"ZFC3H1"
"289"	71	9	80	21.1591886642932	3.9449712106242	-3.08219959414336	"CASC5"
"290"	38	2	40	10.5795943321466	2.78951589461807	-3.07565708756115	"ZNF544"
"291"	38	2	40	10.5795943321466	2.78951589461807	-3.07565708756115	"ZNF711"
"292"	38	2	40	10.5795943321466	2.78951589461807	-3.07565708756115	"DPY19L3"
"293"	38	2	40	10.5795943321466	2.78951589461807	-3.07565708756115	"PAK7"
"294"	38	2	40	10.5795943321466	2.78951589461807	-3.07565708756115	"ZNF429"
"295"	38	2	40	10.5795943321466	2.78951589461807	-3.07565708756115	"DNAJC2"
"296"	62	7	69	18.2498002229528	3.66372940429747	-3.07058709351108	"GEMIN5"
"297"	48	4	52	13.7534726317906	3.18053747096697	-3.06661145193968	"CARD6"
"298"	48	4	52	13.7534726317906	3.18053747096697	-3.06661145193968	"CCDC27"
"299"	48	4	52	13.7534726317906	3.18053747096697	-3.06661145193968	"RAD51AP2"
"300"	48	4	52	13.7534726317906	3.18053747096697	-3.06661145193968	"ZFP62"
"301"	43	3	46	12.1665334819686	2.99142253205326	-3.06427239340102	"NUTM2F"
"302"	43	3	46	12.1665334819686	2.99142253205326	-3.06427239340102	"MAP4K3"
"303"	43	3	46	12.1665334819686	2.99142253205326	-3.06427239340102	"PPP1R3A"
"304"	43	3	46	12.1665334819686	2.99142253205326	-3.06427239340102	"CTAGE5"
"305"	199	43	242	64.0065457094868	6.86130188115037	-3.06159764915705	"DNAH11"
"306"	79	11	90	23.8040872473298	4.18427384192711	-3.06005001848367	"KMT2E"
"307"	26	0	26	6.87673631589528	2.24897961353865	-3.05771394035675	"OMA1"
"308"	130	24	154	40.7314381787643	5.47342542347646	-3.05684957485678	"GPR179"
"309"	83	12	95	25.1265365388481	4.29893271057205	-3.05344080091484	"YTHDC2"
"310"	32	1	33	8.72816532402093	2.5337036358303	-3.05014572925314	"ZNF57"
"311"	32	1	33	8.72816532402093	2.5337036358303	-3.05014572925314	"GLS"
"312"	32	1	33	8.72816532402093	2.5337036358303	-3.05014572925314	"SAMD3"
"313"	66	8	74	19.5722495144712	3.79415181742965	-3.05002279068284	"SMC6"
"314"	87	13	100	26.4489858303664	4.41061189811767	-3.04923356237852	"CCDC88A"
"315"	87	13	100	26.4489858303664	4.41061189811767	-3.04923356237852	"TANC1"
"316"	57	6	63	16.6628610731309	3.50081466361258	-3.04582278632471	"MYO1E"
"317"	122	22	144	38.0865395957277	5.29273427774121	-3.03936278520163	"SRRM1"
"318"	148	29	177	46.8147049197486	5.86793747827944	-3.03593979753379	"ANK3"
"319"	70	9	79	20.8946988059895	3.92023760497952	-3.03417802810746	"ATAD5"
"320"	70	9	79	20.8946988059895	3.92023760497952	-3.03417802810746	"BRCA1"
"321"	70	9	79	20.8946988059895	3.92023760497952	-3.03417802810746	"KRBA1"
"322"	144	28	172	45.4922556282303	5.78446327529232	-3.02400668752561	"CEP350"
"323"	74	10	84	22.2171480975078	4.04239257683942	-3.02225671190498	"FGD5"
