"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"28"	"GO:0032501"	"multicellular organismal process"	6876	460	NA	"3.4e-13"
"29"	"GO:0045815"	"positive regulation of gene expression, ..."	80	24	NA	"1.2e-12"
"30"	"GO:0030154"	"cell differentiation"	3699	280	NA	"1.2e-12"
"31"	"GO:0048513"	"animal organ development"	3181	248	NA	"2.2e-12"
"32"	"GO:0051239"	"regulation of multicellular organismal p..."	2582	211	NA	"2.4e-12"
"33"	"GO:0051172"	"negative regulation of nitrogen compound..."	1489	138	NA	"8.8e-12"
"34"	"GO:0009653"	"anatomical structure morphogenesis"	2331	193	NA	"9.3e-12"
"35"	"GO:0045934"	"negative regulation of nucleobase-contai..."	1349	128	NA	"1.2e-11"
"36"	"GO:0050793"	"regulation of developmental process"	2187	183	NA	"1.6e-11"
"37"	"GO:0048869"	"cellular developmental process"	3869	284	NA	"3.1e-11"
"38"	"GO:0031327"	"negative regulation of cellular biosynth..."	1447	133	NA	"4.0e-11"
"39"	"GO:1902679"	"negative regulation of RNA biosynthetic ..."	1159	113	NA	"4.4e-11"
"40"	"GO:0045892"	"negative regulation of transcription, DN..."	1103	109	NA	"4.5e-11"
"41"	"GO:0051291"	"protein heterooligomerization"	118	27	NA	"5.3e-11"
"42"	"GO:0009890"	"negative regulation of biosynthetic proc..."	1468	134	NA	"5.4e-11"
"43"	"GO:0051253"	"negative regulation of RNA metabolic pro..."	1206	116	NA	"5.5e-11"
"44"	"GO:1903507"	"negative regulation of nucleic acid-temp..."	1143	111	NA	"8.5e-11"
"45"	"GO:0051093"	"negative regulation of developmental pro..."	801	86	NA	"1.0e-10"
"46"	"GO:2000113"	"negative regulation of cellular macromol..."	1294	121	NA	"1.2e-10"
"47"	"GO:0045596"	"negative regulation of cell differentiat..."	609	71	NA	"1.4e-10"
"48"	"GO:0048468"	"cell development"	1837	157	NA	"1.4e-10"
"49"	"GO:0010558"	"negative regulation of macromolecule bio..."	1375	125	NA	"3.5e-10"
"50"	"GO:0006325"	"chromatin organization"	721	77	NA	"1.4e-09"
"51"	"GO:0045165"	"cell fate commitment"	239	37	NA	"2.6e-09"
"52"	"GO:0061564"	"axon development"	447	55	NA	"2.6e-09"
"53"	"GO:0031047"	"gene silencing by RNA"	158	29	NA	"2.7e-09"
"54"	"GO:0032200"	"telomere organization"	160	29	NA	"3.6e-09"
"55"	"GO:0045653"	"negative regulation of megakaryocyte dif..."	18	10	NA	"4.2e-09"
"56"	"GO:0009888"	"tissue development"	1840	151	NA	"5.9e-09"
"57"	"GO:0051960"	"regulation of nervous system development"	732	76	NA	"6.2e-09"
"58"	"GO:0048523"	"negative regulation of cellular process"	4203	292	NA	"7.1e-09"
"59"	"GO:0000904"	"cell morphogenesis involved in different..."	630	68	NA	"8.7e-09"
"60"	"GO:0007409"	"axonogenesis"	413	51	NA	"9.0e-09"
"61"	"GO:0048666"	"neuron development"	949	91	NA	"9.6e-09"
"62"	"GO:0051241"	"negative regulation of multicellular org..."	979	93	NA	"1.0e-08"
"63"	"GO:0048598"	"embryonic morphogenesis"	562	62	NA	"1.8e-08"
"64"	"GO:0009887"	"animal organ morphogenesis"	962	91	NA	"1.9e-08"
"65"	"GO:0048729"	"tissue morphogenesis"	605	65	NA	"2.2e-08"
"66"	"GO:0045595"	"regulation of cell differentiation"	1474	125	NA	"2.4e-08"
"67"	"GO:0048519"	"negative regulation of biological proces..."	4644	314	NA	"2.5e-08"
"68"	"GO:0031324"	"negative regulation of cellular metaboli..."	2339	179	NA	"3.2e-08"
"69"	"GO:0048667"	"cell morphogenesis involved in neuron di..."	507	57	NA	"3.6e-08"
"70"	"GO:0007267"	"cell-cell signaling"	1518	126	NA	"7.3e-08"
"71"	"GO:0097485"	"neuron projection guidance"	217	32	NA	"9.9e-08"
"72"	"GO:0071880"	"adenylate cyclase-activating adrenergic ..."	14	8	NA	"1.2e-07"
"73"	"GO:0051961"	"negative regulation of nervous system de..."	253	35	NA	"1.3e-07"
"74"	"GO:0007417"	"central nervous system development"	887	83	NA	"1.3e-07"
"75"	"GO:0010628"	"positive regulation of gene expression"	1693	136	NA	"1.4e-07"
"76"	"GO:0048812"	"neuron projection morphogenesis"	556	59	NA	"1.6e-07"
"77"	"GO:0010721"	"negative regulation of cell development"	267	36	NA	"1.6e-07"
"78"	"GO:1904837"	"beta-catenin-TCF complex assembly"	43	13	NA	"1.6e-07"
"79"	"GO:0007187"	"G-protein coupled receptor signaling pat..."	179	28	NA	"1.8e-07"
"80"	"GO:0050768"	"negative regulation of neurogenesis"	234	33	NA	"1.8e-07"
"81"	"GO:0002009"	"morphogenesis of an epithelium"	506	55	NA	"1.9e-07"
"82"	"GO:0051262"	"protein tetramerization"	139	24	NA	"2.1e-07"
"83"	"GO:0007411"	"axon guidance"	215	31	NA	"2.6e-07"
"84"	"GO:0048858"	"cell projection morphogenesis"	571	59	NA	"3.9e-07"
"85"	"GO:0048646"	"anatomical structure formation involved ..."	949	85	NA	"6.0e-07"
"86"	"GO:0030900"	"forebrain development"	357	42	NA	"7.0e-07"
"87"	"GO:0060968"	"regulation of gene silencing"	64	15	NA	"7.4e-07"
"88"	"GO:0045664"	"regulation of neuron differentiation"	528	55	NA	"7.6e-07"
"89"	"GO:0010629"	"negative regulation of gene expression"	1616	128	NA	"7.7e-07"
"90"	"GO:0045665"	"negative regulation of neuron differenti..."	181	27	NA	"7.8e-07"
"91"	"GO:0032990"	"cell part morphogenesis"	589	59	NA	"1.1e-06"
"92"	"GO:0007188"	"adenylate cyclase-modulating G-protein c..."	152	24	NA	"1.1e-06"
"93"	"GO:0045652"	"regulation of megakaryocyte differentiat..."	29	10	NA	"1.1e-06"
"94"	"GO:0009790"	"embryo development"	937	83	NA	"1.3e-06"
"95"	"GO:0050767"	"regulation of neurogenesis"	648	63	NA	"1.3e-06"
"96"	"GO:0031175"	"neuron projection development"	806	74	NA	"1.4e-06"
"97"	"GO:0060284"	"regulation of cell development"	749	70	NA	"1.4e-06"
"98"	"GO:0060562"	"epithelial tube morphogenesis"	306	37	NA	"1.7e-06"
"99"	"GO:0044763"	"single-organism cellular process"	10210	595	NA	"1.8e-06"
"100"	"GO:0006355"	"regulation of transcription, DNA-templat..."	3460	236	NA	"2.0e-06"
"101"	"GO:1903506"	"regulation of nucleic acid-templated tra..."	3482	237	NA	"2.2e-06"
"102"	"GO:2000112"	"regulation of cellular macromolecule bio..."	3836	257	NA	"2.4e-06"
"103"	"GO:0021527"	"spinal cord association neuron different..."	14	7	NA	"2.6e-06"
"104"	"GO:0042303"	"molting cycle"	109	19	NA	"3.3e-06"
"105"	"GO:0042633"	"hair cycle"	109	19	NA	"3.3e-06"
"106"	"GO:2001141"	"regulation of RNA biosynthetic process"	3501	237	NA	"3.4e-06"
"107"	"GO:0060322"	"head development"	698	65	NA	"3.8e-06"
"108"	"GO:0007423"	"sensory organ development"	505	51	NA	"4.7e-06"
"109"	"GO:0031326"	"regulation of cellular biosynthetic proc..."	4136	272	NA	"4.9e-06"
"110"	"GO:0007189"	"adenylate cyclase-activating G-protein c..."	65	14	NA	"5.0e-06"
"111"	"GO:0048663"	"neuron fate commitment"	65	14	NA	"5.0e-06"
"112"	"GO:0060429"	"epithelium development"	1200	98	NA	"5.0e-06"
"113"	"GO:0002227"	"innate immune response in mucosa"	21	8	NA	"5.9e-06"
"114"	"GO:0071875"	"adrenergic receptor signaling pathway"	21	8	NA	"5.9e-06"
"115"	"GO:0007420"	"brain development"	665	62	NA	"6.2e-06"
"116"	"GO:0050808"	"synapse organization"	237	30	NA	"6.3e-06"
"117"	"GO:0006357"	"regulation of transcription from RNA pol..."	1832	137	NA	"6.7e-06"
"118"	"GO:0045104"	"intermediate filament cytoskeleton organ..."	42	11	NA	"7.0e-06"
"119"	"GO:0048568"	"embryonic organ development"	418	44	NA	"7.5e-06"
"120"	"GO:0050878"	"regulation of body fluid levels"	500	50	NA	"7.7e-06"
"121"	"GO:0006351"	"transcription, DNA-templated"	3611	241	NA	"8.0e-06"
"122"	"GO:0044260"	"cellular macromolecule metabolic process"	7991	478	NA	"8.2e-06"
"123"	"GO:0045109"	"intermediate filament organization"	22	8	NA	"8.8e-06"
"124"	"GO:0009889"	"regulation of biosynthetic process"	4184	273	NA	"8.9e-06"
"125"	"GO:0031055"	"chromatin remodeling at centromere"	43	11	NA	"9.0e-06"
"126"	"GO:0045103"	"intermediate filament-based process"	43	11	NA	"9.0e-06"
"127"	"GO:0021515"	"cell differentiation in spinal cord"	51	12	NA	"9.1e-06"
"128"	"GO:0009892"	"negative regulation of metabolic process"	2647	185	NA	"9.2e-06"
"129"	"GO:0051252"	"regulation of RNA metabolic process"	3619	241	NA	"9.4e-06"
"130"	"GO:0035239"	"tube morphogenesis"	343	38	NA	"9.8e-06"
"131"	"GO:0043170"	"macromolecule metabolic process"	8625	510	NA	"1.0e-05"
"132"	"GO:0010977"	"negative regulation of neuron projection..."	118	19	NA	"1.1e-05"
"133"	"GO:0097659"	"nucleic acid-templated transcription"	3628	241	NA	"1.1e-05"
"134"	"GO:0021510"	"spinal cord development"	98	17	NA	"1.1e-05"
"135"	"GO:0048562"	"embryonic organ morphogenesis"	283	33	NA	"1.3e-05"
"136"	"GO:0051276"	"chromosome organization"	1120	91	NA	"1.4e-05"
"137"	"GO:0045907"	"positive regulation of vasoconstriction"	30	9	NA	"1.5e-05"
"138"	"GO:0010556"	"regulation of macromolecule biosynthetic..."	3946	258	NA	"1.6e-05"
"139"	"GO:0031345"	"negative regulation of cell projection o..."	143	21	NA	"1.6e-05"
"140"	"GO:0071804"	"cellular potassium ion transport"	189	25	NA	"1.7e-05"
"141"	"GO:0071805"	"potassium ion transmembrane transport"	189	25	NA	"1.7e-05"
"142"	"GO:0019219"	"regulation of nucleobase-containing comp..."	3969	259	NA	"1.7e-05"
"143"	"GO:0048518"	"positive regulation of biological proces..."	5110	322	NA	"1.9e-05"
"144"	"GO:0072359"	"circulatory system development"	913	77	NA	"1.9e-05"
"145"	"GO:0010605"	"negative regulation of macromolecule met..."	2426	170	NA	"2.1e-05"
"146"	"GO:0051259"	"protein oligomerization"	477	47	NA	"2.1e-05"
"147"	"GO:0003002"	"regionalization"	329	36	NA	"2.2e-05"
"148"	"GO:0034080"	"CENP-A containing nucleosome assembly"	39	10	NA	"2.3e-05"
"149"	"GO:0061641"	"CENP-A containing chromatin organization"	39	10	NA	"2.3e-05"
"150"	"GO:1905114"	"cell surface receptor signaling pathway ..."	563	53	NA	"2.3e-05"
"151"	"GO:0000726"	"non-recombinational repair"	74	14	NA	"2.4e-05"
"152"	"GO:1903522"	"regulation of blood circulation"	267	31	NA	"2.6e-05"
"153"	"GO:0050807"	"regulation of synapse organization"	115	18	NA	"2.7e-05"
"154"	"GO:0030219"	"megakaryocyte differentiation"	48	11	NA	"2.8e-05"
"155"	"GO:0000902"	"cell morphogenesis"	878	74	NA	"2.8e-05"
"156"	"GO:0007166"	"cell surface receptor signaling pathway"	2559	177	NA	"2.8e-05"
"157"	"GO:0006366"	"transcription from RNA polymerase II pro..."	2020	145	NA	"3.0e-05"
"158"	"GO:0090596"	"sensory organ morphogenesis"	244	29	NA	"3.0e-05"
"159"	"GO:0040011"	"locomotion"	1552	116	NA	"3.9e-05"
"160"	"GO:0032774"	"RNA biosynthetic process"	3745	244	NA	"3.9e-05"
"161"	"GO:0006336"	"DNA replication-independent nucleosome a..."	50	11	NA	"4.2e-05"
"162"	"GO:0050803"	"regulation of synapse structure or activ..."	119	18	NA	"4.4e-05"
"163"	"GO:0006813"	"potassium ion transport"	224	27	NA	"4.4e-05"
"164"	"GO:0005976"	"polysaccharide metabolic process"	99	16	NA	"5.0e-05"
"165"	"GO:0034508"	"centromere complex assembly"	51	11	NA	"5.1e-05"
"166"	"GO:0034724"	"DNA replication-independent nucleosome o..."	51	11	NA	"5.1e-05"
"167"	"GO:0009611"	"response to wounding"	624	56	NA	"5.1e-05"
"168"	"GO:0010604"	"positive regulation of macromolecule met..."	2830	191	NA	"5.4e-05"
"169"	"GO:0061138"	"morphogenesis of a branching epithelium"	178	23	NA	"5.4e-05"
"170"	"GO:0051171"	"regulation of nitrogen compound metaboli..."	4230	270	NA	"5.7e-05"
"171"	"GO:0010769"	"regulation of cell morphogenesis involve..."	240	28	NA	"5.7e-05"
"172"	"GO:0034765"	"regulation of ion transmembrane transpor..."	400	40	NA	"6.2e-05"
"173"	"GO:0021516"	"dorsal spinal cord development"	21	7	NA	"6.3e-05"
"174"	"GO:1902667"	"regulation of axon guidance"	21	7	NA	"6.3e-05"
"175"	"GO:0007517"	"muscle organ development"	346	36	NA	"6.3e-05"
"176"	"GO:0043009"	"chordate embryonic development"	556	51	NA	"6.3e-05"
"177"	"GO:0032989"	"cellular component morphogenesis"	964	78	NA	"6.8e-05"
"178"	"GO:0060538"	"skeletal muscle organ development"	157	21	NA	"6.8e-05"
"179"	"GO:0048754"	"branching morphogenesis of an epithelial..."	146	20	NA	"7.1e-05"
"180"	"GO:0009792"	"embryo development ending in birth or eg..."	559	51	NA	"7.3e-05"
"181"	"GO:0016233"	"telomere capping"	53	11	NA	"7.4e-05"
"182"	"GO:0007416"	"synapse assembly"	135	19	NA	"7.4e-05"
"183"	"GO:0021953"	"central nervous system neuron differenti..."	170	22	NA	"7.6e-05"
"184"	"GO:0007389"	"pattern specification process"	418	41	NA	"7.7e-05"
"185"	"GO:0034380"	"high-density lipoprotein particle assemb..."	10	5	NA	"7.7e-05"
"186"	"GO:0044699"	"single-organism process"	12698	705	NA	"7.8e-05"
"187"	"GO:0050770"	"regulation of axonogenesis"	147	20	NA	"7.9e-05"
"188"	"GO:0021537"	"telencephalon development"	233	27	NA	"8.6e-05"
"189"	"GO:0051962"	"positive regulation of nervous system de..."	435	42	NA	"9.0e-05"
"190"	"GO:0065008"	"regulation of biological quality"	3400	222	NA	"9.1e-05"
"191"	"GO:0001503"	"ossification"	366	37	NA	"9.2e-05"
"192"	"GO:0034645"	"cellular macromolecule biosynthetic proc..."	4785	299	NA	"9.4e-05"
"193"	"GO:0035295"	"tube development"	565	51	NA	"9.5e-05"
"194"	"GO:0035914"	"skeletal muscle cell differentiation"	64	12	NA	"0.00010"
"195"	"GO:0048841"	"regulation of axon extension involved in..."	16	6	NA	"0.00010"
"196"	"GO:0045638"	"negative regulation of myeloid cell diff..."	84	14	NA	"0.00010"
"197"	"GO:0007519"	"skeletal muscle tissue development"	150	20	NA	"0.00010"
"198"	"GO:0002385"	"mucosal immune response"	30	8	NA	"0.00011"
"199"	"GO:0072089"	"stem cell proliferation"	106	16	NA	"0.00012"
"200"	"GO:0043588"	"skin development"	398	39	NA	"0.00012"
"201"	"GO:0001708"	"cell fate specification"	75	13	NA	"0.00012"
"202"	"GO:0010771"	"negative regulation of cell morphogenesi..."	75	13	NA	"0.00012"
"203"	"GO:0019229"	"regulation of vasoconstriction"	56	11	NA	"0.00013"
"204"	"GO:0048675"	"axon extension"	96	15	NA	"0.00013"
"205"	"GO:0045944"	"positive regulation of transcription fro..."	1031	81	NA	"0.00013"
"206"	"GO:0050789"	"regulation of biological process"	10410	592	NA	"0.00013"
"207"	"GO:0034762"	"regulation of transmembrane transport"	415	40	NA	"0.00014"
"208"	"GO:1903707"	"negative regulation of hemopoiesis"	130	18	NA	"0.00014"
"209"	"GO:0022603"	"regulation of anatomical structure morph..."	908	73	NA	"0.00014"
"210"	"GO:0071495"	"cellular response to endogenous stimulus"	1209	92	NA	"0.00014"
"211"	"GO:0009952"	"anterior/posterior pattern specification"	202	24	NA	"0.00014"
"212"	"GO:0007200"	"phospholipase C-activating G-protein cou..."	108	16	NA	"0.00015"
"213"	"GO:0006303"	"double-strand break repair via nonhomolo..."	67	12	NA	"0.00016"
"214"	"GO:0001763"	"morphogenesis of a branching structure"	191	23	NA	"0.00016"
"215"	"GO:0051963"	"regulation of synapse assembly"	77	13	NA	"0.00016"
"216"	"GO:0009059"	"macromolecule biosynthetic process"	4947	306	NA	"0.00016"
"217"	"GO:0030517"	"negative regulation of axon extension"	24	7	NA	"0.00016"
"218"	"GO:0050794"	"regulation of cellular process"	9833	562	NA	"0.00018"
"219"	"GO:0050771"	"negative regulation of axonogenesis"	49	10	NA	"0.00018"
"220"	"GO:0002251"	"organ or tissue specific immune response"	32	8	NA	"0.00018"
"221"	"GO:0016331"	"morphogenesis of embryonic epithelium"	145	19	NA	"0.00019"
"222"	"GO:0009893"	"positive regulation of metabolic process"	3054	200	NA	"0.00020"
"223"	"GO:0051965"	"positive regulation of synapse assembly"	59	11	NA	"0.00020"
"224"	"GO:0043269"	"regulation of ion transport"	583	51	NA	"0.00021"
"225"	"GO:0043486"	"histone exchange"	50	10	NA	"0.00022"
"226"	"GO:0045741"	"positive regulation of epidermal growth ..."	12	5	NA	"0.00022"
"227"	"GO:1905809"	"negative regulation of synapse organizat..."	12	5	NA	"0.00022"
"228"	"GO:0006024"	"glycosaminoglycan biosynthetic process"	112	16	NA	"0.00023"
"229"	"GO:1903510"	"mucopolysaccharide metabolic process"	112	16	NA	"0.00023"
"230"	"GO:0006023"	"aminoglycan biosynthetic process"	113	16	NA	"0.00025"
"231"	"GO:0007596"	"blood coagulation"	345	34	NA	"0.00028"
"232"	"GO:0048732"	"gland development"	416	39	NA	"0.00029"
"233"	"GO:0023052"	"signaling"	5949	358	NA	"0.00029"
"234"	"GO:0050896"	"response to stimulus"	8016	467	NA	"0.00030"
"235"	"GO:0045995"	"regulation of embryonic development"	115	16	NA	"0.00031"
"236"	"GO:0021700"	"developmental maturation"	239	26	NA	"0.00032"
"237"	"GO:0044700"	"single organism signaling"	5937	357	NA	"0.00032"
"238"	"GO:0080090"	"regulation of primary metabolic process"	5565	337	NA	"0.00032"
"239"	"GO:0051094"	"positive regulation of developmental pro..."	1143	86	NA	"0.00034"
"240"	"GO:0006928"	"movement of cell or subcellular componen..."	1788	125	NA	"0.00035"
"241"	"GO:0050817"	"coagulation"	349	34	NA	"0.00035"
"242"	"GO:0006022"	"aminoglycan metabolic process"	164	20	NA	"0.00035"
"243"	"GO:0045777"	"positive regulation of blood pressure"	35	8	NA	"0.00035"
"244"	"GO:0034637"	"cellular carbohydrate biosynthetic proce..."	73	12	NA	"0.00037"
"245"	"GO:0007599"	"hemostasis"	350	34	NA	"0.00037"
"246"	"GO:0016043"	"cellular component organization"	5768	347	NA	"0.00041"
"247"	"GO:0098655"	"cation transmembrane transport"	738	60	NA	"0.00042"
"248"	"GO:0061448"	"connective tissue development"	230	25	NA	"0.00042"
"249"	"GO:0051173"	"positive regulation of nitrogen compound..."	1765	123	NA	"0.00044"
"250"	"GO:0071229"	"cellular response to acid chemical"	192	22	NA	"0.00044"
"251"	"GO:0098660"	"inorganic ion transmembrane transport"	740	60	NA	"0.00045"
"252"	"GO:0001568"	"blood vessel development"	573	49	NA	"0.00046"
"253"	"GO:0021915"	"neural tube development"	155	19	NA	"0.00046"
"254"	"GO:0021602"	"cranial nerve morphogenesis"	28	7	NA	"0.00046"
"255"	"GO:0007215"	"glutamate receptor signaling pathway"	75	12	NA	"0.00047"
"256"	"GO:0072358"	"cardiovascular system development"	604	51	NA	"0.00048"
"257"	"GO:0034654"	"nucleobase-containing compound biosynthe..."	4180	260	NA	"0.00049"
"258"	"GO:0006112"	"energy reserve metabolic process"	86	13	NA	"0.00049"
"259"	"GO:0044264"	"cellular polysaccharide metabolic proces..."	86	13	NA	"0.00049"
"260"	"GO:0022038"	"corpus callosum development"	14	5	NA	"0.00052"
"261"	"GO:0045893"	"positive regulation of transcription, DN..."	1338	97	NA	"0.00052"
"262"	"GO:1903508"	"positive regulation of nucleic acid-temp..."	1338	97	NA	"0.00052"
"263"	"GO:0045935"	"positive regulation of nucleobase-contai..."	1656	116	NA	"0.00054"
"264"	"GO:0060485"	"mesenchyme development"	234	25	NA	"0.00054"
"265"	"GO:0048846"	"axon extension involved in axon guidance"	21	6	NA	"0.00055"
"266"	"GO:1902284"	"neuron projection extension involved in ..."	21	6	NA	"0.00055"
"267"	"GO:0001942"	"hair follicle development"	87	13	NA	"0.00055"
"268"	"GO:0051254"	"positive regulation of RNA metabolic pro..."	1407	101	NA	"0.00056"
"269"	"GO:0007610"	"behavior"	548	47	NA	"0.00056"
"270"	"GO:0001501"	"skeletal system development"	474	42	NA	"0.00057"
"271"	"GO:0070873"	"regulation of glycogen metabolic process"	29	7	NA	"0.00058"
"272"	"GO:0001944"	"vasculature development"	595	50	NA	"0.00060"
"273"	"GO:1990138"	"neuron projection extension"	134	17	NA	"0.00061"
"274"	"GO:0007218"	"neuropeptide signaling pathway"	99	14	NA	"0.00061"
"275"	"GO:0060537"	"muscle tissue development"	346	33	NA	"0.00062"
"276"	"GO:0014706"	"striated muscle tissue development"	332	32	NA	"0.00062"
"277"	"GO:0042060"	"wound healing"	521	45	NA	"0.00063"
"278"	"GO:0030203"	"glycosaminoglycan metabolic process"	159	19	NA	"0.00063"
"279"	"GO:0000723"	"telomere maintenance"	147	18	NA	"0.00065"
"280"	"GO:0031323"	"regulation of cellular metabolic process"	5708	342	NA	"0.00065"
"281"	"GO:0061337"	"cardiac conduction"	135	17	NA	"0.00066"
"282"	"GO:0022404"	"molting cycle process"	89	13	NA	"0.00069"
"283"	"GO:0022405"	"hair cycle process"	89	13	NA	"0.00069"
"284"	"GO:0098662"	"inorganic cation transmembrane transport"	645	53	NA	"0.00070"
"285"	"GO:0031128"	"developmental induction"	30	7	NA	"0.00073"
"286"	"GO:0001525"	"angiogenesis"	407	37	NA	"0.00074"
"287"	"GO:0099054"	"presynapse assembly"	15	5	NA	"0.00074"
"288"	"GO:0051146"	"striated muscle cell differentiation"	239	25	NA	"0.00074"
"289"	"GO:0042127"	"regulation of cell proliferation"	1503	106	NA	"0.00075"
"290"	"GO:0048534"	"hematopoietic or lymphoid organ developm..."	756	60	NA	"0.00076"
"291"	"GO:0009719"	"response to endogenous stimulus"	1556	109	NA	"0.00080"
"292"	"GO:0065007"	"biological regulation"	11001	615	NA	"0.00084"
"293"	"GO:0031102"	"neuron projection regeneration"	49	9	NA	"0.00086"
"294"	"GO:0016567"	"protein ubiquitination"	791	62	NA	"0.00086"
"295"	"GO:0044057"	"regulation of system process"	484	42	NA	"0.00086"
"296"	"GO:0010468"	"regulation of gene expression"	4254	262	NA	"0.00086"
"297"	"GO:0031328"	"positive regulation of cellular biosynth..."	1728	119	NA	"0.00086"
"298"	"GO:1902680"	"positive regulation of RNA biosynthetic ..."	1359	97	NA	"0.00087"
"299"	"GO:0030030"	"cell projection organization"	1293	93	NA	"0.00087"
"300"	"GO:0048839"	"inner ear development"	176	20	NA	"0.00088"
"301"	"GO:0019731"	"antibacterial humoral response"	40	8	NA	"0.00092"
"302"	"GO:0071526"	"semaphorin-plexin signaling pathway"	23	6	NA	"0.00093"
"303"	"GO:0007204"	"positive regulation of cytosolic calcium..."	257	26	NA	"0.00096"
"304"	"GO:0010033"	"response to organic substance"	2791	180	NA	"0.00097"
"305"	"GO:0022607"	"cellular component assembly"	2599	169	NA	"0.00100"
"306"	"GO:0048747"	"muscle fiber development"	50	9	NA	"0.00100"
"307"	"GO:0042249"	"establishment of planar polarity of embr..."	16	5	NA	"0.00103"
"308"	"GO:0048243"	"norepinephrine secretion"	16	5	NA	"0.00103"
"309"	"GO:0009987"	"cellular process"	14625	787	NA	"0.00105"
"310"	"GO:0043044"	"ATP-dependent chromatin remodeling"	71	11	NA	"0.00106"
"311"	"GO:0010975"	"regulation of neuron projection developm..."	386	35	NA	"0.00106"
"312"	"GO:0061061"	"muscle structure development"	565	47	NA	"0.00107"
"313"	"GO:1901362"	"organic cyclic compound biosynthetic pro..."	4379	268	NA	"0.00108"
"314"	"GO:0030204"	"chondroitin sulfate metabolic process"	41	8	NA	"0.00109"
"315"	"GO:0016055"	"Wnt signaling pathway"	461	40	NA	"0.00113"
"316"	"GO:0048705"	"skeletal system morphogenesis"	206	22	NA	"0.00114"
"317"	"GO:0048588"	"developmental cell growth"	180	20	NA	"0.00116"
"318"	"GO:0198738"	"cell-cell signaling by wnt"	462	40	NA	"0.00118"
"319"	"GO:0005977"	"glycogen metabolic process"	72	11	NA	"0.00119"
"320"	"GO:0006073"	"cellular glucan metabolic process"	72	11	NA	"0.00119"
"321"	"GO:0042310"	"vasoconstriction"	72	11	NA	"0.00119"
"322"	"GO:0044042"	"glucan metabolic process"	72	11	NA	"0.00119"
"323"	"GO:0048570"	"notochord morphogenesis"	10	4	NA	"0.00120"
"324"	"GO:1902668"	"negative regulation of axon guidance"	10	4	NA	"0.00120"
"325"	"GO:0006935"	"chemotaxis"	538	45	NA	"0.00122"
"326"	"GO:0018130"	"heterocycle biosynthetic process"	4242	260	NA	"0.00122"
"327"	"GO:0007154"	"cell communication"	5962	353	NA	"0.00124"
"328"	"GO:0060255"	"regulation of macromolecule metabolic pr..."	5664	337	NA	"0.00126"
"329"	"GO:0042330"	"taxis"	539	45	NA	"0.00126"
"330"	"GO:0051480"	"regulation of cytosolic calcium ion conc..."	290	28	NA	"0.00129"
"331"	"GO:0051716"	"cellular response to stimulus"	6585	386	NA	"0.00129"
"332"	"GO:1903524"	"positive regulation of blood circulation"	62	10	NA	"0.00129"
"333"	"GO:0019438"	"aromatic compound biosynthetic process"	4248	260	NA	"0.00133"
"334"	"GO:0030516"	"regulation of axon extension"	73	11	NA	"0.00134"
"335"	"GO:2000177"	"regulation of neural precursor cell prol..."	73	11	NA	"0.00134"
